19:14:00.685: Position 1: FM90
19:19:18.575: Message received: teamAwesome,p@55w04d,5,HA91
19:19:18.576: Awarded: 6 pts
19:19:18.577: Message received: teamAwesome,p@55w04d,6,PV49
19:19:18.578: Awarded: 6 pts
19:19:18.646: Message received: teamAwesome,p@55w04d,1,HH88
19:19:18.647: Awarded: 0 pts
19:19:18.649: Message received: teamAwesome,p@55w04d,2,MW25
19:19:18.650: Awarded: 6 pts
19:19:18.651: Message received: teamAwesome,p@55w04d,3,HH88
19:19:18.654: Awarded: 0 pts
19:19:18.655: Message received: teamAwesome,p@55w04d,4,AH77
19:19:18.656: Awarded: 0 pts
19:19:18.657: Message received: teamAwesome,p@55w04d,5,HA91
19:19:18.659: Awarded: 6 pts
19:19:18.661: Message received: teamAwesome,p@55w04d,6,PV49
19:19:18.663: Awarded: 6 pts
19:19:18.777: Message received: teamAwesome,p@55w04d,1,HH88
19:19:18.778: Awarded: 0 pts
19:19:18.779: Message received: teamAwesome,p@55w04d,2,MW25
19:19:18.785: Awarded: 6 pts
19:19:18.794: Message received: teamAwesome,p@55w04d,3,HH88
19:19:18.798: Awarded: 0 pts
19:19:18.802: Message received: teamAwesome,p@55w04d,4,AH77
19:19:18.806: Awarded: 0 pts
19:19:18.808: Message received: teamAwesome,p@55w04d,5,HA91
19:19:18.813: Awarded: 6 pts
19:19:18.818: Message received: teamAwesome,p@55w04d,6,PV49
19:19:18.821: Awarded: 6 pts
19:19:18.867: Message received: teamAwesome,p@55w04d,1,HH88
19:19:18.869: Awarded: 0 pts
19:19:18.872: Message received: teamAwesome,p@55w04d,2,MW25
19:19:18.875: Awarded: 6 pts
19:19:18.876: Message received: teamAwesome,p@55w04d,3,HH88
19:19:18.879: Awarded: 0 pts
19:19:18.881: Message received: teamAwesome,p@55w04d,4,AH77
19:19:18.884: Awarded: 0 pts
19:19:18.888: Message received: teamAwesome,p@55w04d,5,HA91
19:19:18.898: Awarded: 6 pts
19:19:18.903: Message received: teamAwesome,p@55w04d,6,PV49
19:19:18.906: Awarded: 6 pts
19:19:19.012: Message received: teamAwesome,p@55w04d,1,HH88
19:19:19.014: Awarded: 0 pts
19:19:19.015: Message received: teamAwesome,p@55w04d,2,MW25
19:19:19.016: Awarded: 6 pts
19:19:19.017: Message received: teamAwesome,p@55w04d,3,HH88
19:19:19.018: Awarded: 0 pts
19:19:19.019: Message received: teamAwesome,p@55w04d,4,AH77
19:19:19.021: Awarded: 0 pts
19:19:19.022: Message received: teamAwesome,p@55w04d,5,HA91
19:19:19.023: Awarded: 6 pts
19:19:19.024: Message received: teamAwesome,p@55w04d,6,PV49
19:19:19.025: Awarded: 6 pts
19:19:19.144: Message received: teamAwesome,p@55w04d,1,HH88
19:19:19.145: Awarded: 0 pts
19:19:19.146: Message received: teamAwesome,p@55w04d,2,MW25
19:19:19.147: Awarded: 6 pts
19:19:19.148: Message received: teamAwesome,p@55w04d,3,HH88
19:19:19.149: Awarded: 0 pts
19:19:19.151: Message received: teamAwesome,p@55w04d,4,AH77
19:19:19.152: Awarded: 0 pts
19:19:19.153: Message received: teamAwesome,p@55w04d,5,HA91
19:19:19.161: Awarded: 6 pts
19:19:19.165: Message received: teamAwesome,p@55w04d,6,PV49
19:19:19.167: Awarded: 6 pts
19:19:19.259: Message received: teamAwesome,p@55w04d,1,HH88
19:19:19.262: Awarded: 0 pts
19:19:19.264: Message received: teamAwesome,p@55w04d,2,MW25
19:19:19.266: Awarded: 6 pts
19:19:19.267: Message received: teamAwesome,p@55w04d,3,HH88
19:19:19.273: Awarded: 0 pts
19:19:19.276: Message received: teamAwesome,p@55w04d,4,AH77
19:19:19.287: Awarded: 0 pts
19:19:19.288: Message received: teamAwesome,p@55w04d,5,HA91
19:19:19.290: Awarded: 6 pts
19:19:19.291: Message received: teamAwesome,p@55w04d,6,PV49
19:19:19.292: Awarded: 6 pts
19:19:19.400: Message received: teamAwesome,p@55w04d,1,HH88
19:19:19.402: Awarded: 0 pts
19:19:19.406: Message received: teamAwesome,p@55w04d,2,MW25
19:19:19.408: Awarded: 6 pts
19:19:19.420: Message received: teamAwesome,p@55w04d,3,HH88
19:19:19.426: Awarded: 0 pts
19:19:19.427: Message received: teamAwesome,p@55w04d,4,AH77
19:19:19.429: Awarded: 0 pts
19:19:19.431: Message received: teamAwesome,p@55w04d,5,HA91
19:19:19.433: Awarded: 6 pts
19:19:19.434: Message received: teamAwesome,p@55w04d,6,PV49
19:19:19.437: Awarded: 6 pts
19:19:19.475: Message received: teamAwesome,p@55w04d,1,HH88
19:19:19.478: Awarded: 0 pts
19:19:19.479: Message received: teamAwesome,p@55w04d,2,MW25
19:19:19.481: Awarded: 6 pts
19:19:19.483: Message received: teamAwesome,p@55w04d,3,HH88
19:19:19.486: Awarded: 0 pts
19:19:19.491: Message received: teamAwesome,p@55w04d,4,AH77
19:19:19.493: Awarded: 0 pts
19:19:19.497: Message received: teamAwesome,p@55w04d,5,HA91
19:19:19.501: Awarded: 6 pts
19:19:19.503: Message received: teamAwesome,p@55w04d,6,PV49
19:19:19.509: Awarded: 6 pts
19:19:19.631: Message received: teamAwesome,p@55w04d,1,HH88
19:19:19.632: Awarded: 0 pts
19:19:19.633: Message received: teamAwesome,p@55w04d,2,MW25
19:19:19.634: Awarded: 6 pts
19:19:19.635: Message received: teamAwesome,p@55w04d,3,HH88
19:19:19.636: Awarded: 0 pts
19:19:19.637: Message received: teamAwesome,p@55w04d,4,AH77
19:19:19.643: Awarded: 0 pts
19:19:19.647: Message received: teamAwesome,p@55w04d,5,HA91
19:19:19.650: Awarded: 6 pts
19:19:19.652: Message received: teamAwesome,p@55w04d,6,PV49
19:19:19.659: Awarded: 6 pts
19:19:19.693: Message received: teamAwesome,p@55w04d,1,HH88
19:19:19.694: Awarded: 0 pts
19:19:19.697: Message received: teamAwesome,p@55w04d,2,MW25
19:19:19.698: Awarded: 6 pts
19:19:19.699: Message received: teamAwesome,p@55w04d,3,HH88
19:19:19.701: Awarded: 0 pts
19:19:19.702: Message received: teamAwesome,p@55w04d,4,AH77
19:19:19.704: Awarded: 0 pts
19:19:19.709: Message received: teamAwesome,p@55w04d,5,HA91
19:19:19.712: Awarded: 6 pts
19:19:19.717: Message received: teamAwesome,p@55w04d,6,PV49
19:19:19.719: Awarded: 6 pts
19:19:19.854: Message received: teamAwesome,p@55w04d,1,HH88
19:19:19.856: Awarded: 0 pts
19:19:19.858: Message received: teamAwesome,p@55w04d,2,MW25
19:19:19.860: Awarded: 6 pts
19:19:19.861: Message received: teamAwesome,p@55w04d,3,HH88
19:19:19.863: Awarded: 0 pts
19:19:19.865: Message received: teamAwesome,p@55w04d,4,AH77
19:19:19.866: Awarded: 0 pts
19:19:19.871: Message received: teamAwesome,p@55w04d,5,HA91
19:19:19.877: Awarded: 6 pts
19:19:19.883: Message received: teamAwesome,p@55w04d,6,PV49
19:19:19.887: Awarded: 6 pts
19:19:19.964: Message received: teamAwesome,p@55w04d,1,HH88
19:19:19.965: Awarded: 0 pts
19:19:19.970: Message received: teamAwesome,p@55w04d,2,MW25
19:19:19.982: Awarded: 6 pts
19:19:19.985: Message received: teamAwesome,p@55w04d,3,HH88
19:19:19.986: Awarded: 0 pts
19:19:19.989: Message received: teamAwesome,p@55w04d,4,AH77
19:19:19.991: Awarded: 0 pts
19:19:19.992: Message received: teamAwesome,p@55w04d,5,HA91
19:19:19.994: Awarded: 6 pts
19:19:19.996: Message received: teamAwesome,p@55w04d,6,PV49
19:19:20.000: Awarded: 6 pts
19:19:20.063: Message received: teamAwesome,p@55w04d,1,HH88
19:19:20.066: Awarded: 0 pts
19:19:20.067: Message received: teamAwesome,p@55w04d,2,MW25
19:19:20.069: Awarded: 6 pts
19:19:20.070: Message received: teamAwesome,p@55w04d,3,HH88
19:19:20.078: Awarded: 0 pts
19:19:20.084: Message received: teamAwesome,p@55w04d,4,AH77
19:19:20.086: Awarded: 0 pts
19:19:20.088: Message received: teamAwesome,p@55w04d,5,HA91
19:19:20.089: Awarded: 6 pts
19:19:20.091: Message received: teamAwesome,p@55w04d,6,PV49
19:19:20.093: Awarded: 6 pts
19:19:20.186: Message received: teamAwesome,p@55w04d,1,HH88
19:19:20.187: Awarded: 0 pts
19:19:20.193: Message received: teamAwesome,p@55w04d,2,MW25
19:19:20.193: Awarded: 6 pts
19:19:20.195: Message received: teamAwesome,p@55w04d,3,HH88
19:19:20.196: Awarded: 0 pts
19:19:20.197: Message received: teamAwesome,p@55w04d,4,AH77
19:19:20.198: Awarded: 0 pts
19:19:20.199: Message received: teamAwesome,p@55w04d,5,HA91
19:19:20.201: Awarded: 6 pts
19:19:20.202: Message received: teamAwesome,p@55w04d,6,PV49
19:19:20.203: Awarded: 6 pts
19:19:20.309: Message received: teamAwesome,p@55w04d,1,HH88
19:19:20.310: Awarded: 0 pts
19:19:20.312: Message received: teamAwesome,p@55w04d,2,MW25
19:19:20.314: Awarded: 6 pts
19:19:20.316: Message received: teamAwesome,p@55w04d,3,HH88
19:19:20.318: Awarded: 0 pts
19:19:20.319: Message received: teamAwesome,p@55w04d,4,AH77
19:19:20.325: Awarded: 0 pts
19:19:20.327: Message received: teamAwesome,p@55w04d,5,HA91
19:19:20.328: Awarded: 6 pts
19:19:20.332: Message received: teamAwesome,p@55w04d,6,PV49
19:19:20.334: Awarded: 6 pts
19:19:20.448: Message received: teamAwesome,p@55w04d,1,HH88
19:19:20.450: Awarded: 0 pts
19:19:20.452: Message received: teamAwesome,p@55w04d,2,MW25
19:19:20.453: Awarded: 6 pts
19:19:20.454: Message received: teamAwesome,p@55w04d,3,HH88
19:19:20.455: Awarded: 0 pts
19:19:20.456: Message received: teamAwesome,p@55w04d,4,AH77
19:19:20.458: Awarded: 0 pts
19:19:20.462: Message received: teamAwesome,p@55w04d,5,HA91
19:19:20.466: Awarded: 6 pts
19:19:20.468: Message received: teamAwesome,p@55w04d,6,PV49
19:19:20.471: Awarded: 6 pts
19:19:20.549: Message received: teamAwesome,p@55w04d,1,HH88
19:19:20.551: Awarded: 0 pts
19:19:20.552: Message received: teamAwesome,p@55w04d,2,MW25
19:19:20.553: Awarded: 6 pts
19:19:20.554: Message received: teamAwesome,p@55w04d,3,HH88
19:19:20.554: Awarded: 0 pts
19:19:20.555: Message received: teamAwesome,p@55w04d,4,AH77
19:19:20.557: Awarded: 0 pts
19:19:20.561: Message received: teamAwesome,p@55w04d,5,HA91
19:19:20.562: Awarded: 6 pts
19:19:20.569: Message received: teamAwesome,p@55w04d,6,PV49
19:19:20.571: Awarded: 6 pts
19:19:21.199: Message received: teamAwesome,p@55w04d,1,HH88
19:19:21.202: Awarded: 0 pts
19:19:21.204: Message received: teamAwesome,p@55w04d,2,MW25
19:19:21.206: Awarded: 6 pts
19:19:21.207: Message received: teamAwesome,p@55w04d,3,HH88
19:19:21.209: Awarded: 0 pts
19:19:21.210: Message received: teamAwesome,p@55w04d,4,AH77
19:19:21.214: Awarded: 0 pts
19:19:21.222: Message received: teamAwesome,p@55w04d,5,HA91
19:19:21.224: Awarded: 6 pts
19:19:21.228: Message received: teamAwesome,p@55w04d,6,PV49
19:19:21.231: Awarded: 6 pts
19:19:21.831: Message received: teamAwesome,p@55w04d,1,HH88
19:19:21.833: Awarded: 0 pts
19:19:21.835: Message received: teamAwesome,p@55w04d,2,MW25
19:19:21.836: Awarded: 6 pts
19:19:21.838: Message received: teamAwesome,p@55w04d,3,HH88
19:19:21.841: Awarded: 0 pts
19:19:21.842: Message received: teamAwesome,p@55w04d,4,AH77
19:19:21.848: Awarded: 0 pts
19:19:21.849: Message received: teamAwesome,p@55w04d,5,HA91
19:19:21.853: Awarded: 6 pts
19:19:21.854: Message received: teamAwesome,p@55w04d,6,PV49
19:19:21.860: Awarded: 6 pts
19:19:22.561: Message received: teamAwesome,p@55w04d,1,HH88
19:19:22.563: Awarded: 0 pts
19:19:22.564: Message received: teamAwesome,p@55w04d,2,MW25
19:19:22.565: Awarded: 6 pts
19:19:22.567: Message received: teamAwesome,p@55w04d,3,HH88
19:19:22.571: Awarded: 0 pts
19:19:22.572: Message received: teamAwesome,p@55w04d,4,AH77
19:19:22.574: Awarded: 0 pts
19:19:22.577: Message received: teamAwesome,p@55w04d,5,HA91
19:19:22.580: Awarded: 6 pts
19:19:22.582: Message received: teamAwesome,p@55w04d,6,PV49
19:19:22.588: Awarded: 6 pts
19:19:23.357: Message received: teamAwesome,p@55w04d,1,HH88
19:19:23.358: Awarded: 0 pts
19:19:23.369: Message received: teamAwesome,p@55w04d,2,MW25
19:19:23.371: Awarded: 6 pts
19:19:23.373: Message received: teamAwesome,p@55w04d,3,HH88
19:19:23.377: Awarded: 0 pts
19:19:23.378: Message received: teamAwesome,p@55w04d,4,AH77
19:19:23.379: Awarded: 0 pts
19:19:23.388: Message received: teamAwesome,p@55w04d,5,HA91
19:19:23.392: Awarded: 6 pts
19:19:23.393: Message received: teamAwesome,p@55w04d,6,PV49
19:19:23.399: Awarded: 6 pts
19:19:23.446: Message received: teamAwesome,p@55w04d,1,HH88
19:19:23.448: Awarded: 0 pts
19:19:23.449: Message received: teamAwesome,p@55w04d,2,MW25
19:19:23.452: Awarded: 6 pts
19:19:23.454: Message received: teamAwesome,p@55w04d,3,HH88
19:19:23.455: Awarded: 0 pts
19:19:23.463: Message received: teamAwesome,p@55w04d,4,AH77
19:19:23.464: Awarded: 0 pts
19:19:23.465: Message received: teamAwesome,p@55w04d,5,HA91
19:19:23.467: Awarded: 6 pts
19:19:23.468: Message received: teamAwesome,p@55w04d,6,PV49
19:19:23.479: Awarded: 6 pts
19:19:23.521: Message received: teamAwesome,p@55w04d,1,HH88
19:19:23.523: Awarded: 0 pts
19:19:23.525: Message received: teamAwesome,p@55w04d,2,MW25
19:19:23.529: Awarded: 6 pts
19:19:23.530: Message received: teamAwesome,p@55w04d,3,HH88
19:19:23.531: Awarded: 0 pts
19:19:23.534: Message received: teamAwesome,p@55w04d,4,AH77
19:19:23.537: Awarded: 0 pts
19:19:23.547: Message received: teamAwesome,p@55w04d,5,HA91
19:19:23.553: Awarded: 6 pts
19:19:23.557: Message received: teamAwesome,p@55w04d,6,PV49
19:19:23.559: Awarded: 6 pts
19:19:23.576: Message received: teamAwesome,p@55w04d,1,HH88
19:19:23.578: Awarded: 0 pts
19:19:23.582: Message received: teamAwesome,p@55w04d,2,MW25
19:19:23.583: Awarded: 6 pts
19:19:23.586: Message received: teamAwesome,p@55w04d,3,HH88
19:19:23.601: Awarded: 0 pts
19:19:23.606: Message received: teamAwesome,p@55w04d,4,AH77
19:19:23.608: Awarded: 0 pts
19:19:23.610: Message received: teamAwesome,p@55w04d,5,HA91
19:19:23.611: Awarded: 6 pts
19:19:23.617: Message received: teamAwesome,p@55w04d,6,PV49
19:19:23.620: Awarded: 6 pts
19:19:23.654: Message received: teamAwesome,p@55w04d,1,HH88
19:19:23.655: Awarded: 0 pts
19:19:23.662: Message received: teamAwesome,p@55w04d,2,MW25
19:19:23.665: Awarded: 6 pts
19:19:23.666: Message received: teamAwesome,p@55w04d,3,HH88
19:19:23.667: Awarded: 0 pts
19:19:23.668: Message received: teamAwesome,p@55w04d,4,AH77
19:19:23.669: Awarded: 0 pts
19:19:23.670: Message received: teamAwesome,p@55w04d,5,HA91
19:19:23.676: Awarded: 6 pts
19:19:23.680: Message received: teamAwesome,p@55w04d,6,PV49
19:19:23.684: Awarded: 6 pts
19:19:23.797: Message received: teamAwesome,p@55w04d,1,HH88
19:19:23.798: Awarded: 0 pts
19:19:23.800: Message received: teamAwesome,p@55w04d,2,MW25
19:19:23.802: Awarded: 6 pts
19:19:23.804: Message received: teamAwesome,p@55w04d,3,HH88
19:19:23.806: Awarded: 0 pts
19:19:23.810: Message received: teamAwesome,p@55w04d,4,AH77
19:19:23.811: Awarded: 0 pts
19:19:23.814: Message received: teamAwesome,p@55w04d,5,HA91
19:19:23.815: Awarded: 6 pts
19:19:23.818: Message received: teamAwesome,p@55w04d,6,PV49
19:19:23.820: Awarded: 6 pts
19:19:23.858: Message received: teamAwesome,p@55w04d,1,HH88
19:19:23.860: Awarded: 0 pts
19:19:23.865: Message received: teamAwesome,p@55w04d,2,MW25
19:19:23.869: Awarded: 6 pts
19:19:23.878: Message received: teamAwesome,p@55w04d,3,HH88
19:19:23.881: Awarded: 0 pts
19:19:23.884: Message received: teamAwesome,p@55w04d,4,AH77
19:19:23.885: Awarded: 0 pts
19:19:23.888: Message received: teamAwesome,p@55w04d,5,HA91
19:19:23.890: Awarded: 6 pts
19:19:23.893: Message received: teamAwesome,p@55w04d,6,PV49
19:19:23.896: Awarded: 6 pts
19:19:23.920: Message received: teamAwesome,p@55w04d,1,HH88
19:19:23.924: Awarded: 0 pts
19:19:23.927: Message received: teamAwesome,p@55w04d,2,MW25
19:19:23.935: Awarded: 6 pts
19:19:23.937: Message received: teamAwesome,p@55w04d,3,HH88
19:19:23.940: Awarded: 0 pts
19:19:23.943: Message received: teamAwesome,p@55w04d,4,AH77
19:19:23.949: Awarded: 0 pts
19:19:23.953: Message received: teamAwesome,p@55w04d,5,HA91
19:19:23.955: Awarded: 6 pts
19:19:23.957: Message received: teamAwesome,p@55w04d,6,PV49
19:19:23.959: Awarded: 6 pts
19:19:23.990: Message received: teamAwesome,p@55w04d,1,HH88
19:19:23.991: Awarded: 0 pts
19:19:23.995: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.000: Awarded: 6 pts
19:19:24.001: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.006: Awarded: 0 pts
19:19:24.011: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.019: Awarded: 0 pts
19:19:24.027: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.029: Awarded: 6 pts
19:19:24.030: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.032: Awarded: 6 pts
19:19:24.071: Message received: teamAwesome,p@55w04d,1,HH88
19:19:24.075: Awarded: 0 pts
19:19:24.078: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.089: Awarded: 6 pts
19:19:24.092: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.098: Awarded: 0 pts
19:19:24.113: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.119: Awarded: 0 pts
19:19:24.123: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.125: Awarded: 6 pts
19:19:24.126: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.131: Awarded: 6 pts
19:19:24.133: Message received: teamAwesome,p@55w04d,1,HH88
19:19:24.135: Awarded: 0 pts
19:19:24.139: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.141: Awarded: 6 pts
19:19:24.152: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.154: Awarded: 0 pts
19:19:24.156: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.157: Awarded: 0 pts
19:19:24.160: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.163: Awarded: 6 pts
19:19:24.166: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.168: Awarded: 6 pts
19:19:24.183: Message received: teamAwesome,p@55w04d,1,HH88
19:19:24.187: Awarded: 0 pts
19:19:24.189: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.191: Awarded: 6 pts
19:19:24.197: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.201: Awarded: 0 pts
19:19:24.203: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.204: Awarded: 0 pts
19:19:24.212: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.214: Awarded: 6 pts
19:19:24.216: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.218: Awarded: 6 pts
19:19:24.237: Message received: teamAwesome,p@55w04d,1,HH88
19:19:24.238: Awarded: 0 pts
19:19:24.240: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.241: Awarded: 6 pts
19:19:24.243: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.245: Awarded: 0 pts
19:19:24.247: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.249: Awarded: 0 pts
19:19:24.255: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.257: Awarded: 6 pts
19:19:24.263: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.267: Awarded: 6 pts
19:19:24.407: Message received: teamAwesome,p@55w04d,1,HH88
19:19:24.408: Awarded: 0 pts
19:19:24.412: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.414: Awarded: 6 pts
19:19:24.419: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.427: Awarded: 0 pts
19:19:24.439: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.446: Awarded: 0 pts
19:19:24.452: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.455: Awarded: 6 pts
19:19:24.458: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.459: Awarded: 6 pts
19:19:24.490: Message received: teamAwesome,p@55w04d,1,HH88
19:19:24.491: Awarded: 0 pts
19:19:24.495: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.497: Awarded: 6 pts
19:19:24.507: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.510: Awarded: 0 pts
19:19:24.518: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.523: Awarded: 0 pts
19:19:24.528: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.531: Awarded: 6 pts
19:19:24.534: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.535: Awarded: 6 pts
19:19:24.630: Message received: teamAwesome,p@55w04d,1,HH88
19:19:24.632: Awarded: 0 pts
19:19:24.634: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.635: Awarded: 6 pts
19:19:24.636: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.645: Awarded: 0 pts
19:19:24.646: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.648: Awarded: 0 pts
19:19:24.651: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.668: Awarded: 6 pts
19:19:24.674: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.676: Awarded: 6 pts
19:19:24.746: Message received: teamAwesome,p@55w04d,1,HH88
19:19:24.747: Awarded: 0 pts
19:19:24.749: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.750: Awarded: 6 pts
19:19:24.753: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.760: Awarded: 0 pts
19:19:24.768: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.769: Awarded: 0 pts
19:19:24.770: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.778: Awarded: 6 pts
19:19:24.780: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.782: Awarded: 6 pts
19:19:24.887: Message received: teamAwesome,p@55w04d,1,HH88
19:19:24.890: Awarded: 0 pts
19:19:24.892: Message received: teamAwesome,p@55w04d,2,MW25
19:19:24.894: Awarded: 6 pts
19:19:24.895: Message received: teamAwesome,p@55w04d,3,HH88
19:19:24.896: Awarded: 0 pts
19:19:24.900: Message received: teamAwesome,p@55w04d,4,AH77
19:19:24.915: Awarded: 0 pts
19:19:24.918: Message received: teamAwesome,p@55w04d,5,HA91
19:19:24.920: Awarded: 6 pts
19:19:24.928: Message received: teamAwesome,p@55w04d,6,PV49
19:19:24.932: Awarded: 6 pts
19:19:25.011: Message received: teamAwesome,p@55w04d,1,HH88
19:19:25.014: Awarded: 0 pts
19:19:25.016: Message received: teamAwesome,p@55w04d,2,MW25
19:19:25.022: Awarded: 6 pts
19:19:25.025: Message received: teamAwesome,p@55w04d,3,HH88
19:19:25.039: Awarded: 0 pts
19:19:25.049: Message received: teamAwesome,p@55w04d,4,AH77
19:19:25.055: Awarded: 0 pts
19:19:25.060: Message received: teamAwesome,p@55w04d,5,HA91
19:19:25.065: Awarded: 6 pts
19:19:25.068: Message received: teamAwesome,p@55w04d,6,PV49
19:19:25.071: Awarded: 6 pts
19:19:25.124: Message received: teamAwesome,p@55w04d,1,HH88
19:19:25.126: Awarded: 0 pts
19:19:25.130: Message received: teamAwesome,p@55w04d,2,MW25
19:19:25.133: Awarded: 6 pts
19:19:25.137: Message received: teamAwesome,p@55w04d,3,HH88
19:19:25.147: Awarded: 0 pts
19:19:25.156: Message received: teamAwesome,p@55w04d,4,AH77
19:19:25.159: Awarded: 0 pts
19:19:25.163: Message received: teamAwesome,p@55w04d,5,HA91
19:19:25.169: Awarded: 6 pts
19:19:25.176: Message received: teamAwesome,p@55w04d,6,PV49
19:19:25.178: Awarded: 6 pts
19:19:25.253: Message received: teamAwesome,p@55w04d,1,HH88
19:19:25.255: Awarded: 0 pts
19:19:25.263: Message received: teamAwesome,p@55w04d,2,MW25
19:19:25.267: Awarded: 6 pts
19:19:25.270: Message received: teamAwesome,p@55w04d,3,HH88
19:19:25.286: Awarded: 0 pts
19:19:25.294: Message received: teamAwesome,p@55w04d,4,AH77
19:19:25.299: Awarded: 0 pts
19:19:25.302: Message received: teamAwesome,p@55w04d,5,HA91
19:19:25.306: Awarded: 6 pts
19:19:25.309: Message received: teamAwesome,p@55w04d,6,PV49
19:19:25.311: Awarded: 6 pts
19:19:25.377: Message received: teamAwesome,p@55w04d,1,HH88
19:19:25.378: Awarded: 0 pts
19:19:25.382: Message received: teamAwesome,p@55w04d,2,MW25
19:19:25.384: Awarded: 6 pts
19:19:25.389: Message received: teamAwesome,p@55w04d,3,HH88
19:19:25.392: Awarded: 0 pts
19:19:25.397: Message received: teamAwesome,p@55w04d,4,AH77
19:19:25.405: Awarded: 0 pts
19:19:25.408: Message received: teamAwesome,p@55w04d,5,HA91
19:19:25.414: Awarded: 6 pts
19:19:25.416: Message received: teamAwesome,p@55w04d,6,PV49
19:19:25.418: Awarded: 6 pts
19:19:25.499: Message received: teamAwesome,p@55w04d,1,HH88
19:19:25.501: Awarded: 0 pts
19:19:25.503: Message received: teamAwesome,p@55w04d,2,MW25
19:19:25.504: Awarded: 6 pts
19:19:25.507: Message received: teamAwesome,p@55w04d,3,HH88
19:19:25.508: Awarded: 0 pts
19:19:25.509: Message received: teamAwesome,p@55w04d,4,AH77
19:19:25.511: Awarded: 0 pts
19:19:25.512: Message received: teamAwesome,p@55w04d,5,HA91
19:19:25.513: Awarded: 6 pts
19:19:25.515: Message received: teamAwesome,p@55w04d,6,PV49
19:19:25.519: Awarded: 6 pts
19:19:25.600: Message received: teamAwesome,p@55w04d,1,HH88
19:19:25.602: Awarded: 0 pts
19:19:25.604: Message received: teamAwesome,p@55w04d,2,MW25
19:19:25.606: Awarded: 6 pts
19:19:25.608: Message received: teamAwesome,p@55w04d,3,HH88
19:19:25.611: Awarded: 0 pts
19:19:25.613: Message received: teamAwesome,p@55w04d,4,AH77
19:19:25.614: Awarded: 0 pts
19:19:25.617: Message received: teamAwesome,p@55w04d,5,HA91
19:19:25.619: Awarded: 6 pts
19:19:25.627: Message received: teamAwesome,p@55w04d,6,PV49
19:19:25.631: Awarded: 6 pts
19:19:25.756: Message received: teamAwesome,p@55w04d,1,HH88
19:19:25.758: Awarded: 0 pts
19:19:25.759: Message received: teamAwesome,p@55w04d,2,MW25
19:19:25.760: Awarded: 6 pts
19:19:25.761: Message received: teamAwesome,p@55w04d,3,HH88
19:19:25.762: Awarded: 0 pts
19:19:25.764: Message received: teamAwesome,p@55w04d,4,AH77
19:19:25.769: Awarded: 0 pts
19:19:25.772: Message received: teamAwesome,p@55w04d,5,HA91
19:19:25.775: Awarded: 6 pts
19:19:25.780: Message received: teamAwesome,p@55w04d,6,PV49
19:19:25.783: Awarded: 6 pts
19:19:25.896: Message received: teamAwesome,p@55w04d,1,HH88
19:19:25.898: Awarded: 0 pts
19:19:25.899: Message received: teamAwesome,p@55w04d,2,MW25
19:19:25.900: Awarded: 6 pts
