19:49:18.222: Position 1: FW75
19:51:16.186: Awarded: 0 pts
19:51:16.190: Message received: teamAwesome,p@55w04d,6,AA00
19:51:16.192: Awarded: 0 pts
19:51:16.283: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:16.284: Awarded: 0 pts
19:51:16.285: Message received: teamAwesome,p@55w04d,2,KH78
19:51:16.287: Awarded: 0 pts
19:51:16.299: Message received: teamAwesome,p@55w04d,3,KS79
19:51:16.306: Awarded: 0 pts
19:51:16.312: Message received: teamAwesome,p@55w04d,4,HH87
19:51:16.314: Awarded: 0 pts
19:51:16.320: Message received: teamAwesome,p@55w04d,5,AA00
19:51:16.323: Awarded: 0 pts
19:51:16.324: Message received: teamAwesome,p@55w04d,6,AA00
19:51:16.326: Awarded: 0 pts
19:51:16.397: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:16.398: Awarded: 0 pts
19:51:16.399: Message received: teamAwesome,p@55w04d,2,KH78
19:51:16.400: Awarded: 0 pts
19:51:16.401: Message received: teamAwesome,p@55w04d,3,KS79
19:51:16.402: Awarded: 0 pts
19:51:16.403: Message received: teamAwesome,p@55w04d,4,HH87
19:51:16.405: Awarded: 0 pts
19:51:16.408: Message received: teamAwesome,p@55w04d,5,AA00
19:51:16.410: Awarded: 0 pts
19:51:16.414: Message received: teamAwesome,p@55w04d,6,AA00
19:51:16.415: Awarded: 0 pts
19:51:16.566: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:16.568: Awarded: 0 pts
19:51:16.569: Message received: teamAwesome,p@55w04d,2,KH78
19:51:16.570: Awarded: 0 pts
19:51:16.571: Message received: teamAwesome,p@55w04d,3,KS79
19:51:16.571: Awarded: 0 pts
19:51:16.572: Message received: teamAwesome,p@55w04d,4,HH87
19:51:16.573: Awarded: 0 pts
19:51:16.577: Message received: teamAwesome,p@55w04d,5,AA00
19:51:16.579: Awarded: 0 pts
19:51:16.581: Message received: teamAwesome,p@55w04d,6,AA00
19:51:16.584: Awarded: 0 pts
19:51:16.698: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:16.699: Awarded: 0 pts
19:51:16.701: Message received: teamAwesome,p@55w04d,2,KH78
19:51:16.702: Awarded: 0 pts
19:51:16.702: Message received: teamAwesome,p@55w04d,3,KS79
19:51:16.703: Awarded: 0 pts
19:51:16.705: Message received: teamAwesome,p@55w04d,4,HH87
19:51:16.706: Awarded: 0 pts
19:51:16.707: Message received: teamAwesome,p@55w04d,5,AA00
19:51:16.709: Awarded: 0 pts
19:51:16.713: Message received: teamAwesome,p@55w04d,6,AA00
19:51:16.716: Awarded: 0 pts
19:51:16.823: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:16.824: Awarded: 0 pts
19:51:16.825: Message received: teamAwesome,p@55w04d,2,KH78
19:51:16.826: Awarded: 0 pts
19:51:16.828: Message received: teamAwesome,p@55w04d,3,KS79
19:51:16.829: Awarded: 0 pts
19:51:16.830: Message received: teamAwesome,p@55w04d,4,HH87
19:51:16.831: Awarded: 0 pts
19:51:16.832: Message received: teamAwesome,p@55w04d,5,AA00
19:51:16.836: Awarded: 0 pts
19:51:16.838: Message received: teamAwesome,p@55w04d,6,AA00
19:51:16.840: Awarded: 0 pts
19:51:16.970: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:16.971: Awarded: 0 pts
19:51:16.972: Message received: teamAwesome,p@55w04d,2,KH78
19:51:16.974: Awarded: 0 pts
19:51:16.975: Message received: teamAwesome,p@55w04d,3,KS79
19:51:16.976: Awarded: 0 pts
19:51:16.978: Message received: teamAwesome,p@55w04d,4,HH87
19:51:16.979: Awarded: 0 pts
19:51:16.982: Message received: teamAwesome,p@55w04d,5,AA00
19:51:16.984: Awarded: 0 pts
19:51:16.986: Message received: teamAwesome,p@55w04d,6,AA00
19:51:16.989: Awarded: 0 pts
19:51:17.089: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:17.090: Awarded: 0 pts
19:51:17.091: Message received: teamAwesome,p@55w04d,2,KH78
19:51:17.092: Awarded: 0 pts
19:51:17.093: Message received: teamAwesome,p@55w04d,3,KS79
19:51:17.094: Awarded: 0 pts
19:51:17.096: Message received: teamAwesome,p@55w04d,4,HH87
19:51:17.097: Awarded: 0 pts
19:51:17.098: Message received: teamAwesome,p@55w04d,5,AA00
19:51:17.099: Awarded: 0 pts
19:51:17.101: Message received: teamAwesome,p@55w04d,6,AA00
19:51:17.102: Awarded: 0 pts
19:51:17.213: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:17.214: Awarded: 0 pts
19:51:17.215: Message received: teamAwesome,p@55w04d,2,KH78
19:51:17.216: Awarded: 0 pts
19:51:17.221: Message received: teamAwesome,p@55w04d,3,KS79
19:51:17.223: Awarded: 0 pts
19:51:17.225: Message received: teamAwesome,p@55w04d,4,HH87
19:51:17.226: Awarded: 0 pts
19:51:17.227: Message received: teamAwesome,p@55w04d,5,AA00
19:51:17.228: Awarded: 0 pts
19:51:17.230: Message received: teamAwesome,p@55w04d,6,AA00
19:51:17.231: Awarded: 0 pts
19:51:17.312: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:17.314: Awarded: 0 pts
19:51:17.315: Message received: teamAwesome,p@55w04d,2,KH78
19:51:17.317: Awarded: 0 pts
19:51:17.318: Message received: teamAwesome,p@55w04d,3,KS79
19:51:17.322: Awarded: 0 pts
19:51:17.325: Message received: teamAwesome,p@55w04d,4,HH87
19:51:17.326: Awarded: 0 pts
19:51:17.328: Message received: teamAwesome,p@55w04d,5,AA00
19:51:17.331: Awarded: 0 pts
19:51:17.332: Message received: teamAwesome,p@55w04d,6,AA00
19:51:17.333: Awarded: 0 pts
19:51:17.475: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:17.476: Awarded: 0 pts
19:51:17.478: Message received: teamAwesome,p@55w04d,2,KH78
19:51:17.481: Awarded: 0 pts
19:51:17.483: Message received: teamAwesome,p@55w04d,3,KS79
19:51:17.484: Awarded: 0 pts
19:51:17.485: Message received: teamAwesome,p@55w04d,4,HH87
19:51:17.486: Awarded: 0 pts
19:51:17.487: Message received: teamAwesome,p@55w04d,5,AA00
19:51:17.492: Awarded: 0 pts
19:51:17.494: Message received: teamAwesome,p@55w04d,6,AA00
19:51:17.496: Awarded: 0 pts
19:51:17.576: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:17.579: Awarded: 0 pts
19:51:17.580: Message received: teamAwesome,p@55w04d,2,KH78
19:51:17.581: Awarded: 0 pts
19:51:17.583: Message received: teamAwesome,p@55w04d,3,KS79
19:51:17.586: Awarded: 0 pts
19:51:17.587: Message received: teamAwesome,p@55w04d,4,HH87
19:51:17.591: Awarded: 0 pts
19:51:17.594: Message received: teamAwesome,p@55w04d,5,AA00
19:51:17.597: Awarded: 0 pts
19:51:17.599: Message received: teamAwesome,p@55w04d,6,AA00
19:51:17.602: Awarded: 0 pts
19:51:17.722: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:17.724: Awarded: 0 pts
19:51:17.725: Message received: teamAwesome,p@55w04d,2,KH78
19:51:17.726: Awarded: 0 pts
19:51:17.728: Message received: teamAwesome,p@55w04d,3,KS79
19:51:17.729: Awarded: 0 pts
19:51:17.730: Message received: teamAwesome,p@55w04d,4,HH87
19:51:17.731: Awarded: 0 pts
19:51:17.734: Message received: teamAwesome,p@55w04d,5,AA00
19:51:17.736: Awarded: 0 pts
19:51:17.738: Message received: teamAwesome,p@55w04d,6,AA00
19:51:17.741: Awarded: 0 pts
19:51:17.851: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:17.853: Awarded: 0 pts
19:51:17.859: Message received: teamAwesome,p@55w04d,2,KH78
19:51:17.860: Awarded: 0 pts
19:51:17.861: Message received: teamAwesome,p@55w04d,3,KS79
19:51:17.865: Awarded: 0 pts
19:51:17.872: Message received: teamAwesome,p@55w04d,4,HH87
19:51:17.875: Awarded: 0 pts
19:51:17.877: Message received: teamAwesome,p@55w04d,5,AA00
19:51:17.884: Awarded: 0 pts
19:51:17.886: Message received: teamAwesome,p@55w04d,6,AA00
19:51:17.897: Awarded: 0 pts
19:51:18.005: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:18.007: Awarded: 0 pts
19:51:18.008: Message received: teamAwesome,p@55w04d,2,KH78
19:51:18.009: Awarded: 0 pts
19:51:18.011: Message received: teamAwesome,p@55w04d,3,KS79
19:51:18.012: Awarded: 0 pts
19:51:18.013: Message received: teamAwesome,p@55w04d,4,HH87
19:51:18.014: Awarded: 0 pts
19:51:18.016: Message received: teamAwesome,p@55w04d,5,AA00
19:51:18.018: Awarded: 0 pts
19:51:18.021: Message received: teamAwesome,p@55w04d,6,AA00
19:51:18.024: Awarded: 0 pts
19:51:18.123: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:18.125: Awarded: 0 pts
19:51:18.131: Message received: teamAwesome,p@55w04d,2,KH78
19:51:18.133: Awarded: 0 pts
19:51:18.135: Message received: teamAwesome,p@55w04d,3,KS79
19:51:18.138: Awarded: 0 pts
19:51:18.141: Message received: teamAwesome,p@55w04d,4,HH87
19:51:18.143: Awarded: 0 pts
19:51:18.145: Message received: teamAwesome,p@55w04d,5,AA00
19:51:18.147: Awarded: 0 pts
19:51:18.147: Message received: teamAwesome,p@55w04d,6,AA00
19:51:18.154: Awarded: 0 pts
19:51:18.283: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:18.285: Awarded: 0 pts
19:51:18.285: Message received: teamAwesome,p@55w04d,2,KH78
19:51:18.286: Awarded: 0 pts
19:51:18.287: Message received: teamAwesome,p@55w04d,3,KS79
19:51:18.288: Awarded: 0 pts
19:51:18.290: Message received: teamAwesome,p@55w04d,4,HH87
19:51:18.293: Awarded: 0 pts
19:51:18.295: Message received: teamAwesome,p@55w04d,5,AA00
19:51:18.298: Awarded: 0 pts
19:51:18.300: Message received: teamAwesome,p@55w04d,6,AA00
19:51:18.301: Awarded: 0 pts
19:51:18.401: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:18.403: Awarded: 0 pts
19:51:18.404: Message received: teamAwesome,p@55w04d,2,KH78
19:51:18.405: Awarded: 0 pts
19:51:18.406: Message received: teamAwesome,p@55w04d,3,KS79
19:51:18.407: Awarded: 0 pts
19:51:18.412: Message received: teamAwesome,p@55w04d,4,HH87
19:51:18.413: Awarded: 0 pts
19:51:18.414: Message received: teamAwesome,p@55w04d,5,AA00
19:51:18.416: Awarded: 0 pts
19:51:18.417: Message received: teamAwesome,p@55w04d,6,AA00
19:51:18.418: Awarded: 0 pts
19:51:18.550: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:18.551: Awarded: 0 pts
19:51:18.553: Message received: teamAwesome,p@55w04d,2,KH78
19:51:18.554: Awarded: 0 pts
19:51:18.555: Message received: teamAwesome,p@55w04d,3,KS79
19:51:18.556: Awarded: 0 pts
19:51:18.557: Message received: teamAwesome,p@55w04d,4,HH87
19:51:18.558: Awarded: 0 pts
19:51:18.561: Message received: teamAwesome,p@55w04d,5,AA00
19:51:18.564: Awarded: 0 pts
19:51:18.565: Message received: teamAwesome,p@55w04d,6,AA00
19:51:18.566: Awarded: 0 pts
19:51:18.688: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:18.689: Awarded: 0 pts
19:51:18.690: Message received: teamAwesome,p@55w04d,2,KH78
19:51:18.691: Awarded: 0 pts
19:51:18.692: Message received: teamAwesome,p@55w04d,3,KS79
19:51:18.694: Awarded: 0 pts
19:51:18.696: Message received: teamAwesome,p@55w04d,4,HH87
19:51:18.700: Awarded: 0 pts
19:51:18.705: Message received: teamAwesome,p@55w04d,5,AA00
19:51:18.708: Awarded: 0 pts
19:51:18.713: Message received: teamAwesome,p@55w04d,6,AA00
19:51:18.717: Awarded: 0 pts
19:51:18.818: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:18.819: Awarded: 0 pts
19:51:18.822: Message received: teamAwesome,p@55w04d,2,KH78
19:51:18.823: Awarded: 0 pts
19:51:18.825: Message received: teamAwesome,p@55w04d,3,KS79
19:51:18.827: Awarded: 0 pts
19:51:18.830: Message received: teamAwesome,p@55w04d,4,HH87
19:51:18.834: Awarded: 0 pts
19:51:18.837: Message received: teamAwesome,p@55w04d,5,AA00
19:51:18.838: Awarded: 0 pts
19:51:18.839: Message received: teamAwesome,p@55w04d,6,AA00
19:51:18.841: Awarded: 0 pts
19:51:18.949: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:18.951: Awarded: 0 pts
19:51:18.952: Message received: teamAwesome,p@55w04d,2,KH78
19:51:18.953: Awarded: 0 pts
19:51:18.954: Message received: teamAwesome,p@55w04d,3,KS79
19:51:18.955: Awarded: 0 pts
19:51:18.957: Message received: teamAwesome,p@55w04d,4,HH87
19:51:18.963: Awarded: 0 pts
19:51:18.964: Message received: teamAwesome,p@55w04d,5,AA00
19:51:18.966: Awarded: 0 pts
19:51:18.968: Message received: teamAwesome,p@55w04d,6,AA00
19:51:18.971: Awarded: 0 pts
19:51:19.081: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:19.084: Awarded: 0 pts
19:51:19.085: Message received: teamAwesome,p@55w04d,2,KH78
19:51:19.086: Awarded: 0 pts
19:51:19.087: Message received: teamAwesome,p@55w04d,3,KS79
19:51:19.088: Awarded: 0 pts
19:51:19.089: Message received: teamAwesome,p@55w04d,4,HH87
19:51:19.090: Awarded: 0 pts
19:51:19.093: Message received: teamAwesome,p@55w04d,5,AA00
19:51:19.096: Awarded: 0 pts
19:51:19.098: Message received: teamAwesome,p@55w04d,6,AA00
19:51:19.102: Awarded: 0 pts
19:51:19.240: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:19.242: Awarded: 0 pts
19:51:19.243: Message received: teamAwesome,p@55w04d,2,KH78
19:51:19.244: Awarded: 0 pts
19:51:19.248: Message received: teamAwesome,p@55w04d,3,KS79
19:51:19.249: Awarded: 0 pts
19:51:19.250: Message received: teamAwesome,p@55w04d,4,HH87
19:51:19.252: Awarded: 0 pts
19:51:19.255: Message received: teamAwesome,p@55w04d,5,AA00
19:51:19.258: Awarded: 0 pts
19:51:19.262: Message received: teamAwesome,p@55w04d,6,AA00
19:51:19.267: Awarded: 0 pts
19:51:19.381: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:19.382: Awarded: 0 pts
19:51:19.384: Message received: teamAwesome,p@55w04d,2,KH78
19:51:19.386: Awarded: 0 pts
19:51:19.387: Message received: teamAwesome,p@55w04d,3,KS79
19:51:19.389: Awarded: 0 pts
19:51:19.393: Message received: teamAwesome,p@55w04d,4,HH87
19:51:19.395: Awarded: 0 pts
19:51:19.398: Message received: teamAwesome,p@55w04d,5,AA00
19:51:19.403: Awarded: 0 pts
19:51:19.408: Message received: teamAwesome,p@55w04d,6,AA00
19:51:19.409: Awarded: 0 pts
19:51:19.506: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:19.507: Awarded: 0 pts
19:51:19.508: Message received: teamAwesome,p@55w04d,2,KH78
19:51:19.509: Awarded: 0 pts
19:51:19.512: Message received: teamAwesome,p@55w04d,3,KS79
19:51:19.519: Awarded: 0 pts
19:51:19.521: Message received: teamAwesome,p@55w04d,4,HH87
19:51:19.522: Awarded: 0 pts
19:51:19.524: Message received: teamAwesome,p@55w04d,5,AA00
19:51:19.530: Awarded: 0 pts
19:51:19.535: Message received: teamAwesome,p@55w04d,6,AA00
19:51:19.538: Awarded: 0 pts
19:51:19.647: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:19.648: Awarded: 0 pts
19:51:19.649: Message received: teamAwesome,p@55w04d,2,KH78
19:51:19.652: Awarded: 0 pts
19:51:19.656: Message received: teamAwesome,p@55w04d,3,KS79
19:51:19.657: Awarded: 0 pts
19:51:19.659: Message received: teamAwesome,p@55w04d,4,HH87
19:51:19.661: Awarded: 0 pts
19:51:19.664: Message received: teamAwesome,p@55w04d,5,AA00
19:51:19.666: Awarded: 0 pts
19:51:19.671: Message received: teamAwesome,p@55w04d,6,AA00
19:51:19.675: Awarded: 0 pts
19:51:19.819: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:19.820: Awarded: 0 pts
19:51:19.822: Message received: teamAwesome,p@55w04d,2,KH78
19:51:19.823: Awarded: 0 pts
19:51:19.824: Message received: teamAwesome,p@55w04d,3,KS79
19:51:19.825: Awarded: 0 pts
19:51:19.827: Message received: teamAwesome,p@55w04d,4,HH87
19:51:19.828: Awarded: 0 pts
19:51:19.830: Message received: teamAwesome,p@55w04d,5,AA00
19:51:19.832: Awarded: 0 pts
19:51:19.837: Message received: teamAwesome,p@55w04d,6,AA00
19:51:19.840: Awarded: 0 pts
19:51:19.915: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:19.917: Awarded: 0 pts
19:51:19.918: Message received: teamAwesome,p@55w04d,2,KH78
19:51:19.919: Awarded: 0 pts
19:51:19.924: Message received: teamAwesome,p@55w04d,3,KS79
19:51:19.925: Awarded: 0 pts
19:51:19.927: Message received: teamAwesome,p@55w04d,4,HH87
19:51:19.929: Awarded: 0 pts
19:51:19.930: Message received: teamAwesome,p@55w04d,5,AA00
19:51:19.931: Awarded: 0 pts
19:51:19.933: Message received: teamAwesome,p@55w04d,6,AA00
19:51:19.935: Awarded: 0 pts
19:51:20.037: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:20.039: Awarded: 0 pts
19:51:20.040: Message received: teamAwesome,p@55w04d,2,KH78
19:51:20.042: Awarded: 0 pts
19:51:20.043: Message received: teamAwesome,p@55w04d,3,KS79
19:51:20.044: Awarded: 0 pts
19:51:20.045: Message received: teamAwesome,p@55w04d,4,HH87
19:51:20.047: Awarded: 0 pts
19:51:20.049: Message received: teamAwesome,p@55w04d,5,AA00
19:51:20.050: Awarded: 0 pts
19:51:20.055: Message received: teamAwesome,p@55w04d,6,AA00
19:51:20.057: Awarded: 0 pts
19:51:20.171: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:20.173: Awarded: 0 pts
19:51:20.174: Message received: teamAwesome,p@55w04d,2,KH78
19:51:20.175: Awarded: 0 pts
19:51:20.177: Message received: teamAwesome,p@55w04d,3,KS79
19:51:20.179: Awarded: 0 pts
19:51:20.181: Message received: teamAwesome,p@55w04d,4,HH87
19:51:20.185: Awarded: 0 pts
19:51:20.185: Message received: teamAwesome,p@55w04d,5,AA00
19:51:20.186: Awarded: 0 pts
19:51:20.187: Message received: teamAwesome,p@55w04d,6,AA00
19:51:20.188: Awarded: 0 pts
19:51:20.272: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:20.274: Awarded: 0 pts
19:51:20.279: Message received: teamAwesome,p@55w04d,2,KH78
19:51:20.280: Awarded: 0 pts
19:51:20.283: Message received: teamAwesome,p@55w04d,3,KS79
19:51:20.286: Awarded: 0 pts
19:51:20.296: Message received: teamAwesome,p@55w04d,4,HH87
19:51:20.297: Awarded: 0 pts
19:51:20.301: Message received: teamAwesome,p@55w04d,5,AA00
19:51:20.304: Awarded: 0 pts
19:51:20.308: Message received: teamAwesome,p@55w04d,6,AA00
19:51:20.312: Awarded: 0 pts
19:51:20.417: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:20.418: Awarded: 0 pts
19:51:20.419: Message received: teamAwesome,p@55w04d,2,KH78
19:51:20.421: Awarded: 0 pts
19:51:20.422: Message received: teamAwesome,p@55w04d,3,KS79
19:51:20.423: Awarded: 0 pts
19:51:20.425: Message received: teamAwesome,p@55w04d,4,HH87
19:51:20.428: Awarded: 0 pts
19:51:20.431: Message received: teamAwesome,p@55w04d,5,AA00
19:51:20.434: Awarded: 0 pts
19:51:20.438: Message received: teamAwesome,p@55w04d,6,AA00
19:51:20.440: Awarded: 0 pts
19:51:20.483: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:20.485: Awarded: 0 pts
19:51:20.486: Message received: teamAwesome,p@55w04d,2,KH78
19:51:20.489: Awarded: 0 pts
19:51:20.490: Message received: teamAwesome,p@55w04d,3,KS79
19:51:20.491: Awarded: 0 pts
19:51:20.493: Message received: teamAwesome,p@55w04d,4,HH87
19:51:20.497: Awarded: 0 pts
19:51:20.499: Message received: teamAwesome,p@55w04d,5,AA00
19:51:20.503: Awarded: 0 pts
19:51:20.506: Message received: teamAwesome,p@55w04d,6,AA00
19:51:20.509: Awarded: 0 pts
19:51:20.619: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:20.621: Awarded: 0 pts
19:51:20.624: Message received: teamAwesome,p@55w04d,2,KH78
19:51:20.626: Awarded: 0 pts
19:51:20.627: Message received: teamAwesome,p@55w04d,3,KS79
19:51:20.635: Awarded: 0 pts
19:51:20.637: Message received: teamAwesome,p@55w04d,4,HH87
19:51:20.639: Awarded: 0 pts
19:51:20.642: Message received: teamAwesome,p@55w04d,5,AA00
19:51:20.649: Awarded: 0 pts
19:51:20.656: Message received: teamAwesome,p@55w04d,6,AA00
19:51:20.659: Awarded: 0 pts
19:51:20.732: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:20.733: Awarded: 0 pts
19:51:20.777: Message received: teamAwesome,p@55w04d,2,KH78
19:51:20.780: Awarded: 0 pts
19:51:20.782: Message received: teamAwesome,p@55w04d,3,KS79
19:51:20.784: Awarded: 0 pts
19:51:20.786: Message received: teamAwesome,p@55w04d,4,HH87
19:51:20.787: Awarded: 0 pts
19:51:20.788: Message received: teamAwesome,p@55w04d,5,AA00
19:51:20.793: Awarded: 0 pts
19:51:20.795: Message received: teamAwesome,p@55w04d,6,AA00
19:51:20.802: Awarded: 0 pts
19:51:20.866: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:20.868: Awarded: 0 pts
19:51:20.869: Message received: teamAwesome,p@55w04d,2,KH78
19:51:20.871: Awarded: 0 pts
19:51:20.872: Message received: teamAwesome,p@55w04d,3,KS79
19:51:20.873: Awarded: 0 pts
19:51:20.875: Message received: teamAwesome,p@55w04d,4,HH87
19:51:20.876: Awarded: 0 pts
19:51:20.883: Message received: teamAwesome,p@55w04d,5,AA00
19:51:20.884: Awarded: 0 pts
19:51:20.886: Message received: teamAwesome,p@55w04d,6,AA00
19:51:20.887: Awarded: 0 pts
19:51:20.985: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:20.986: Awarded: 0 pts
19:51:20.987: Message received: teamAwesome,p@55w04d,2,KH78
19:51:20.988: Awarded: 0 pts
19:51:20.989: Message received: teamAwesome,p@55w04d,3,KS79
19:51:20.991: Awarded: 0 pts
19:51:20.993: Message received: teamAwesome,p@55w04d,4,HH87
19:51:20.997: Awarded: 0 pts
19:51:20.998: Message received: teamAwesome,p@55w04d,5,AA00
19:51:21.000: Awarded: 0 pts
19:51:21.002: Message received: teamAwesome,p@55w04d,6,AA00
19:51:21.003: Awarded: 0 pts
19:51:21.121: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:21.123: Awarded: 0 pts
19:51:21.125: Message received: teamAwesome,p@55w04d,2,KH78
19:51:21.126: Awarded: 0 pts
19:51:21.127: Message received: teamAwesome,p@55w04d,3,KS79
19:51:21.130: Awarded: 0 pts
19:51:21.131: Message received: teamAwesome,p@55w04d,4,HH87
19:51:21.134: Awarded: 0 pts
19:51:21.135: Message received: teamAwesome,p@55w04d,5,AA00
19:51:21.139: Awarded: 0 pts
19:51:21.143: Message received: teamAwesome,p@55w04d,6,AA00
19:51:21.146: Awarded: 0 pts
19:51:21.256: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:21.257: Awarded: 0 pts
19:51:21.261: Message received: teamAwesome,p@55w04d,2,KH78
19:51:21.266: Awarded: 0 pts
19:51:21.270: Message received: teamAwesome,p@55w04d,3,KS79
19:51:21.272: Awarded: 0 pts
19:51:21.274: Message received: teamAwesome,p@55w04d,4,HH87
19:51:21.277: Awarded: 0 pts
19:51:21.282: Message received: teamAwesome,p@55w04d,5,AA00
19:51:21.285: Awarded: 0 pts
19:51:21.288: Message received: teamAwesome,p@55w04d,6,AA00
19:51:21.291: Awarded: 0 pts
19:51:21.386: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:21.387: Awarded: 0 pts
19:51:21.389: Message received: teamAwesome,p@55w04d,2,KH78
19:51:21.393: Awarded: 0 pts
19:51:21.394: Message received: teamAwesome,p@55w04d,3,KS79
19:51:21.397: Awarded: 0 pts
19:51:21.400: Message received: teamAwesome,p@55w04d,4,HH87
19:51:21.403: Awarded: 0 pts
19:51:21.406: Message received: teamAwesome,p@55w04d,5,AA00
19:51:21.408: Awarded: 0 pts
19:51:21.415: Message received: teamAwesome,p@55w04d,6,AA00
19:51:21.418: Awarded: 0 pts
19:51:21.534: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:21.537: Awarded: 0 pts
19:51:21.538: Message received: teamAwesome,p@55w04d,2,KH78
19:51:21.544: Awarded: 0 pts
19:51:21.549: Message received: teamAwesome,p@55w04d,3,KS79
19:51:21.550: Awarded: 0 pts
19:51:21.568: Message received: teamAwesome,p@55w04d,4,HH87
19:51:21.570: Awarded: 0 pts
19:51:21.584: Message received: teamAwesome,p@55w04d,5,AA00
19:51:21.588: Awarded: 0 pts
19:51:21.591: Message received: teamAwesome,p@55w04d,6,AA00
19:51:21.592: Awarded: 0 pts
19:51:21.646: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:21.648: Awarded: 0 pts
19:51:21.654: Message received: teamAwesome,p@55w04d,2,KH78
19:51:21.656: Awarded: 0 pts
19:51:21.657: Message received: teamAwesome,p@55w04d,3,KS79
19:51:21.659: Awarded: 0 pts
19:51:21.660: Message received: teamAwesome,p@55w04d,4,HH87
19:51:21.664: Awarded: 0 pts
19:51:21.667: Message received: teamAwesome,p@55w04d,5,AA00
19:51:21.668: Awarded: 0 pts
19:51:21.669: Message received: teamAwesome,p@55w04d,6,AA00
19:51:21.670: Awarded: 0 pts
19:51:21.755: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:21.758: Awarded: 0 pts
19:51:21.759: Message received: teamAwesome,p@55w04d,2,KH78
19:51:21.760: Awarded: 0 pts
19:51:21.762: Message received: teamAwesome,p@55w04d,3,KS79
19:51:21.764: Awarded: 0 pts
19:51:21.767: Message received: teamAwesome,p@55w04d,4,HH87
19:51:21.769: Awarded: 0 pts
19:51:21.771: Message received: teamAwesome,p@55w04d,5,AA00
19:51:21.775: Awarded: 0 pts
19:51:21.776: Message received: teamAwesome,p@55w04d,6,AA00
19:51:21.778: Awarded: 0 pts
19:51:21.893: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:21.898: Awarded: 0 pts
19:51:21.899: Message received: teamAwesome,p@55w04d,2,KH78
19:51:21.900: Awarded: 0 pts
19:51:21.903: Message received: teamAwesome,p@55w04d,3,KS79
19:51:21.905: Awarded: 0 pts
19:51:21.908: Message received: teamAwesome,p@55w04d,4,HH87
19:51:21.911: Awarded: 0 pts
19:51:21.916: Message received: teamAwesome,p@55w04d,5,AA00
19:51:21.919: Awarded: 0 pts
19:51:21.922: Message received: teamAwesome,p@55w04d,6,AA00
19:51:21.927: Awarded: 0 pts
19:51:21.993: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:21.994: Awarded: 0 pts
19:51:21.996: Message received: teamAwesome,p@55w04d,2,KH78
19:51:21.997: Awarded: 0 pts
19:51:21.999: Message received: teamAwesome,p@55w04d,3,KS79
19:51:22.000: Awarded: 0 pts
19:51:22.002: Message received: teamAwesome,p@55w04d,4,HH87
19:51:22.006: Awarded: 0 pts
19:51:22.010: Message received: teamAwesome,p@55w04d,5,AA00
19:51:22.012: Awarded: 0 pts
19:51:22.016: Message received: teamAwesome,p@55w04d,6,AA00
19:51:22.018: Awarded: 0 pts
19:51:22.098: Message received: teamAwesome,p@55w04d,1,HOS7
19:51:22.100: Awarded: 0 pts
19:51:22.104: Message received: teamAwesome,p@55w04d,2,KH78
