19:44:58.249: Position 1: MA38
19:46:54.097: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:54.098: Awarded: 0 pts
19:46:54.257: Message received: teamAwesome,p@55w04d,1,AA00
19:46:54.261: Awarded: 0 pts
19:46:54.262: Message received: teamAwesome,p@55w04d,2,AA00
19:46:54.267: Awarded: 0 pts
19:46:54.268: Message received: teamAwesome,p@55w04d,3,QG39
19:46:54.270: Awarded: 0 pts
19:46:54.272: Message received: teamAwesome,p@55w04d,4,AA00
19:46:54.278: Awarded: 0 pts
19:46:54.281: Message received: teamAwesome,p@55w04d,5,AA00
19:46:54.283: Awarded: 0 pts
19:46:54.288: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:54.290: Awarded: 0 pts
19:46:54.626: Message received: teamAwesome,p@55w04d,1,AA00
19:46:54.629: Awarded: 0 pts
19:46:54.631: Message received: teamAwesome,p@55w04d,2,AA00
19:46:54.632: Awarded: 0 pts
19:46:54.637: Message received: teamAwesome,p@55w04d,3,QG39
19:46:54.638: Awarded: 0 pts
19:46:54.639: Message received: teamAwesome,p@55w04d,4,AA00
19:46:54.640: Awarded: 0 pts
19:46:54.647: Message received: teamAwesome,p@55w04d,5,AA00
19:46:54.651: Awarded: 0 pts
19:46:54.653: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:54.657: Awarded: 0 pts
19:46:54.702: Message received: teamAwesome,p@55w04d,1,AA00
19:46:54.709: Awarded: 0 pts
19:46:54.710: Message received: teamAwesome,p@55w04d,2,AA00
19:46:54.712: Awarded: 0 pts
19:46:54.714: Message received: teamAwesome,p@55w04d,3,QG39
19:46:54.716: Awarded: 0 pts
19:46:54.719: Message received: teamAwesome,p@55w04d,4,AA00
19:46:54.720: Awarded: 0 pts
19:46:54.723: Message received: teamAwesome,p@55w04d,5,AA00
19:46:54.724: Awarded: 0 pts
19:46:54.725: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:54.726: Awarded: 0 pts
19:46:54.977: Message received: teamAwesome,p@55w04d,1,AA00
19:46:54.988: Awarded: 0 pts
19:46:54.990: Message received: teamAwesome,p@55w04d,2,AA00
19:46:54.997: Awarded: 0 pts
19:46:55.002: Message received: teamAwesome,p@55w04d,3,QG39
19:46:55.008: Awarded: 0 pts
19:46:55.014: Message received: teamAwesome,p@55w04d,4,AA00
19:46:55.018: Awarded: 0 pts
19:46:55.030: Message received: teamAwesome,p@55w04d,5,AA00
19:46:55.034: Awarded: 0 pts
19:46:55.042: Message received: teamAwesome,p@55w04d,6,LLLL
19:46:55.049: Awarded: 0 pts
