19:38:38.277: Position 1: JG88
19:40:36.870: Message received: teamAwesome,p@55w04d,6,AA00
19:40:36.874: Awarded: 0 pts
19:40:36.926: Message received: teamAwesome,p@55w04d,1,OL77
19:40:36.932: Awarded: 0 pts
19:40:36.933: Message received: teamAwesome,p@55w04d,2,HH77
19:40:36.939: Awarded: 0 pts
19:40:36.942: Message received: teamAwesome,p@55w04d,3,NA17
19:40:36.943: Awarded: 6 pts
19:40:36.944: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:36.946: Awarded: 0 pts
19:40:36.947: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:36.951: Awarded: 0 pts
19:40:36.953: Message received: teamAwesome,p@55w04d,6,AA00
19:40:36.955: Awarded: 0 pts
19:40:36.972: Message received: teamAwesome,p@55w04d,1,OL77
19:40:36.976: Awarded: 0 pts
19:40:36.977: Message received: teamAwesome,p@55w04d,2,HH77
19:40:36.982: Awarded: 0 pts
19:40:36.983: Message received: teamAwesome,p@55w04d,3,NA17
19:40:36.986: Awarded: 6 pts
19:40:36.989: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:36.990: Awarded: 0 pts
19:40:36.996: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:36.997: Awarded: 0 pts
19:40:36.998: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.007: Awarded: 0 pts
19:40:37.027: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.031: Awarded: 0 pts
19:40:37.036: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.038: Awarded: 0 pts
19:40:37.040: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.042: Awarded: 6 pts
19:40:37.047: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.048: Awarded: 0 pts
19:40:37.054: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.055: Awarded: 0 pts
19:40:37.063: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.066: Awarded: 0 pts
19:40:37.123: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.127: Awarded: 0 pts
19:40:37.131: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.132: Awarded: 0 pts
19:40:37.138: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.147: Awarded: 6 pts
19:40:37.162: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.168: Awarded: 0 pts
19:40:37.172: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.175: Awarded: 0 pts
19:40:37.180: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.185: Awarded: 0 pts
19:40:37.219: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.220: Awarded: 0 pts
19:40:37.221: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.223: Awarded: 0 pts
19:40:37.226: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.227: Awarded: 6 pts
19:40:37.230: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.231: Awarded: 0 pts
19:40:37.233: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.234: Awarded: 0 pts
19:40:37.240: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.242: Awarded: 0 pts
19:40:37.267: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.268: Awarded: 0 pts
19:40:37.270: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.272: Awarded: 0 pts
19:40:37.273: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.275: Awarded: 6 pts
19:40:37.276: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.280: Awarded: 0 pts
19:40:37.283: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.289: Awarded: 0 pts
19:40:37.294: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.295: Awarded: 0 pts
19:40:37.317: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.319: Awarded: 0 pts
19:40:37.320: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.321: Awarded: 0 pts
19:40:37.322: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.323: Awarded: 6 pts
19:40:37.324: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.328: Awarded: 0 pts
19:40:37.332: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.335: Awarded: 0 pts
19:40:37.339: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.353: Awarded: 0 pts
19:40:37.438: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.439: Awarded: 0 pts
19:40:37.442: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.444: Awarded: 0 pts
19:40:37.458: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.464: Awarded: 6 pts
19:40:37.467: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.471: Awarded: 0 pts
19:40:37.473: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.475: Awarded: 0 pts
19:40:37.478: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.482: Awarded: 0 pts
19:40:37.547: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.549: Awarded: 0 pts
19:40:37.552: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.554: Awarded: 0 pts
19:40:37.555: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.557: Awarded: 6 pts
19:40:37.558: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.561: Awarded: 0 pts
19:40:37.567: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.569: Awarded: 0 pts
19:40:37.571: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.576: Awarded: 0 pts
19:40:37.640: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.642: Awarded: 0 pts
19:40:37.644: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.646: Awarded: 0 pts
19:40:37.648: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.660: Awarded: 6 pts
19:40:37.665: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.669: Awarded: 0 pts
19:40:37.671: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.673: Awarded: 0 pts
19:40:37.674: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.677: Awarded: 0 pts
19:40:37.795: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.797: Awarded: 0 pts
19:40:37.799: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.800: Awarded: 0 pts
19:40:37.801: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.804: Awarded: 6 pts
19:40:37.807: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.812: Awarded: 0 pts
19:40:37.816: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.820: Awarded: 0 pts
19:40:37.822: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.824: Awarded: 0 pts
19:40:37.971: Message received: teamAwesome,p@55w04d,1,OL77
19:40:37.973: Awarded: 0 pts
19:40:37.974: Message received: teamAwesome,p@55w04d,2,HH77
19:40:37.975: Awarded: 0 pts
19:40:37.977: Message received: teamAwesome,p@55w04d,3,NA17
19:40:37.978: Awarded: 6 pts
19:40:37.979: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:37.980: Awarded: 0 pts
19:40:37.984: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:37.988: Awarded: 0 pts
19:40:37.991: Message received: teamAwesome,p@55w04d,6,AA00
19:40:37.998: Awarded: 0 pts
19:40:38.068: Message received: teamAwesome,p@55w04d,1,OL77
19:40:38.070: Awarded: 0 pts
19:40:38.093: Message received: teamAwesome,p@55w04d,2,HH77
19:40:38.098: Awarded: 0 pts
19:40:38.102: Message received: teamAwesome,p@55w04d,3,NA17
19:40:38.106: Awarded: 6 pts
19:40:38.107: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:38.114: Awarded: 0 pts
19:40:38.123: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:38.124: Awarded: 0 pts
19:40:38.126: Message received: teamAwesome,p@55w04d,6,AA00
19:40:38.128: Awarded: 0 pts
19:40:38.171: Message received: teamAwesome,p@55w04d,1,OL77
19:40:38.172: Awarded: 0 pts
19:40:38.174: Message received: teamAwesome,p@55w04d,2,HH77
19:40:38.175: Awarded: 0 pts
19:40:38.177: Message received: teamAwesome,p@55w04d,3,NA17
19:40:38.178: Awarded: 6 pts
19:40:38.183: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:38.189: Awarded: 0 pts
19:40:38.193: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:38.196: Awarded: 0 pts
19:40:38.200: Message received: teamAwesome,p@55w04d,6,AA00
19:40:38.203: Awarded: 0 pts
19:40:38.338: Message received: teamAwesome,p@55w04d,1,OL77
19:40:38.340: Awarded: 0 pts
19:40:38.345: Message received: teamAwesome,p@55w04d,2,HH77
19:40:38.346: Awarded: 0 pts
19:40:38.349: Message received: teamAwesome,p@55w04d,3,NA17
19:40:38.350: Awarded: 6 pts
19:40:38.358: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:38.365: Awarded: 0 pts
19:40:38.367: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:38.368: Awarded: 0 pts
19:40:38.370: Message received: teamAwesome,p@55w04d,6,AA00
19:40:38.371: Awarded: 0 pts
19:40:38.460: Message received: teamAwesome,p@55w04d,1,OL77
19:40:38.462: Awarded: 0 pts
19:40:38.463: Message received: teamAwesome,p@55w04d,2,HH77
19:40:38.464: Awarded: 0 pts
19:40:38.465: Message received: teamAwesome,p@55w04d,3,NA17
19:40:38.466: Awarded: 6 pts
19:40:38.468: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:38.472: Awarded: 0 pts
19:40:38.476: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:38.478: Awarded: 0 pts
19:40:38.483: Message received: teamAwesome,p@55w04d,6,AA00
19:40:38.487: Awarded: 0 pts
19:40:38.632: Message received: teamAwesome,p@55w04d,1,OL77
19:40:38.633: Awarded: 0 pts
19:40:38.659: Message received: teamAwesome,p@55w04d,2,HH77
19:40:38.661: Awarded: 0 pts
19:40:38.662: Message received: teamAwesome,p@55w04d,3,NA17
19:40:38.663: Awarded: 6 pts
19:40:38.665: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:38.666: Awarded: 0 pts
19:40:38.668: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:38.669: Awarded: 0 pts
19:40:38.672: Message received: teamAwesome,p@55w04d,6,AA00
19:40:38.675: Awarded: 0 pts
19:40:38.751: Message received: teamAwesome,p@55w04d,1,OL77
19:40:38.754: Awarded: 0 pts
19:40:38.756: Message received: teamAwesome,p@55w04d,2,HH77
19:40:38.759: Awarded: 0 pts
19:40:38.761: Message received: teamAwesome,p@55w04d,3,NA17
19:40:38.764: Awarded: 6 pts
19:40:38.768: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:38.770: Awarded: 0 pts
19:40:38.773: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:38.779: Awarded: 0 pts
19:40:38.787: Message received: teamAwesome,p@55w04d,6,AA00
19:40:38.791: Awarded: 0 pts
19:40:38.840: Message received: teamAwesome,p@55w04d,1,OL77
19:40:38.842: Awarded: 0 pts
19:40:38.849: Message received: teamAwesome,p@55w04d,2,HH77
19:40:38.856: Awarded: 0 pts
19:40:38.867: Message received: teamAwesome,p@55w04d,3,NA17
19:40:38.873: Awarded: 6 pts
19:40:38.876: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:38.879: Awarded: 0 pts
19:40:38.884: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:38.891: Awarded: 0 pts
19:40:38.892: Message received: teamAwesome,p@55w04d,6,AA00
19:40:38.899: Awarded: 0 pts
19:40:38.964: Message received: teamAwesome,p@55w04d,1,OL77
19:40:38.968: Awarded: 0 pts
19:40:38.972: Message received: teamAwesome,p@55w04d,2,HH77
19:40:38.974: Awarded: 0 pts
19:40:38.982: Message received: teamAwesome,p@55w04d,3,NA17
19:40:38.984: Awarded: 6 pts
19:40:38.993: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:39.002: Awarded: 0 pts
19:40:39.011: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:39.013: Awarded: 0 pts
19:40:39.022: Message received: teamAwesome,p@55w04d,6,AA00
19:40:39.023: Awarded: 0 pts
19:40:39.057: Message received: teamAwesome,p@55w04d,1,OL77
19:40:39.059: Awarded: 0 pts
19:40:39.060: Message received: teamAwesome,p@55w04d,2,HH77
19:40:39.062: Awarded: 0 pts
19:40:39.064: Message received: teamAwesome,p@55w04d,3,NA17
19:40:39.070: Awarded: 6 pts
19:40:39.076: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:39.080: Awarded: 0 pts
19:40:39.084: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:39.088: Awarded: 0 pts
19:40:39.091: Message received: teamAwesome,p@55w04d,6,AA00
19:40:39.095: Awarded: 0 pts
19:40:39.185: Message received: teamAwesome,p@55w04d,1,OL77
19:40:39.187: Awarded: 0 pts
19:40:39.189: Message received: teamAwesome,p@55w04d,2,HH77
19:40:39.193: Awarded: 0 pts
19:40:39.195: Message received: teamAwesome,p@55w04d,3,NA17
19:40:39.200: Awarded: 6 pts
19:40:39.202: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:39.204: Awarded: 0 pts
19:40:39.212: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:39.214: Awarded: 0 pts
19:40:39.216: Message received: teamAwesome,p@55w04d,6,AA00
19:40:39.223: Awarded: 0 pts
19:40:39.279: Message received: teamAwesome,p@55w04d,1,OL77
19:40:39.281: Awarded: 0 pts
19:40:39.284: Message received: teamAwesome,p@55w04d,2,HH77
19:40:39.285: Awarded: 0 pts
19:40:39.286: Message received: teamAwesome,p@55w04d,3,NA17
19:40:39.288: Awarded: 6 pts
19:40:39.290: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:39.292: Awarded: 0 pts
19:40:39.298: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:39.301: Awarded: 0 pts
19:40:39.304: Message received: teamAwesome,p@55w04d,6,AA00
19:40:39.307: Awarded: 0 pts
19:40:39.445: Message received: teamAwesome,p@55w04d,1,OL77
19:40:39.447: Awarded: 0 pts
19:40:39.452: Message received: teamAwesome,p@55w04d,2,HH77
19:40:39.458: Awarded: 0 pts
19:40:39.460: Message received: teamAwesome,p@55w04d,3,NA17
19:40:39.462: Awarded: 6 pts
19:40:39.465: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:39.467: Awarded: 0 pts
19:40:39.469: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:39.470: Awarded: 0 pts
19:40:39.471: Message received: teamAwesome,p@55w04d,6,AA00
19:40:39.472: Awarded: 0 pts
19:40:39.572: Message received: teamAwesome,p@55w04d,1,OL77
19:40:39.574: Awarded: 0 pts
19:40:39.576: Message received: teamAwesome,p@55w04d,2,HH77
19:40:39.577: Awarded: 0 pts
19:40:39.579: Message received: teamAwesome,p@55w04d,3,NA17
19:40:39.581: Awarded: 6 pts
19:40:39.589: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:39.590: Awarded: 0 pts
19:40:39.593: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:39.598: Awarded: 0 pts
19:40:39.602: Message received: teamAwesome,p@55w04d,6,AA00
19:40:39.603: Awarded: 0 pts
19:40:39.675: Message received: teamAwesome,p@55w04d,1,OL77
19:40:39.677: Awarded: 0 pts
19:40:39.678: Message received: teamAwesome,p@55w04d,2,HH77
19:40:39.679: Awarded: 0 pts
19:40:39.681: Message received: teamAwesome,p@55w04d,3,NA17
19:40:39.682: Awarded: 6 pts
19:40:39.683: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:39.685: Awarded: 0 pts
19:40:39.690: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:39.692: Awarded: 0 pts
19:40:39.696: Message received: teamAwesome,p@55w04d,6,AA00
19:40:39.699: Awarded: 0 pts
19:40:39.805: Message received: teamAwesome,p@55w04d,1,OL77
19:40:39.807: Awarded: 0 pts
19:40:39.809: Message received: teamAwesome,p@55w04d,2,HH77
19:40:39.810: Awarded: 0 pts
19:40:39.812: Message received: teamAwesome,p@55w04d,3,NA17
19:40:39.813: Awarded: 6 pts
19:40:39.820: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:39.823: Awarded: 0 pts
19:40:39.831: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:39.833: Awarded: 0 pts
19:40:39.840: Message received: teamAwesome,p@55w04d,6,AA00
19:40:39.844: Awarded: 0 pts
19:40:39.933: Message received: teamAwesome,p@55w04d,1,OL77
19:40:39.935: Awarded: 0 pts
19:40:39.936: Message received: teamAwesome,p@55w04d,2,HH77
19:40:39.937: Awarded: 0 pts
19:40:39.939: Message received: teamAwesome,p@55w04d,3,NA17
19:40:39.940: Awarded: 6 pts
19:40:39.942: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:39.946: Awarded: 0 pts
19:40:39.948: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:39.951: Awarded: 0 pts
19:40:39.966: Message received: teamAwesome,p@55w04d,6,AA00
19:40:39.968: Awarded: 0 pts
19:40:40.000: Message received: teamAwesome,p@55w04d,1,OL77
19:40:40.003: Awarded: 0 pts
19:40:40.006: Message received: teamAwesome,p@55w04d,2,HH77
19:40:40.008: Awarded: 0 pts
19:40:40.010: Message received: teamAwesome,p@55w04d,3,NA17
19:40:40.012: Awarded: 6 pts
19:40:40.015: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:40.018: Awarded: 0 pts
19:40:40.021: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:40.024: Awarded: 0 pts
19:40:40.027: Message received: teamAwesome,p@55w04d,6,AA00
19:40:40.030: Awarded: 0 pts
19:40:40.169: Message received: teamAwesome,p@55w04d,1,OL77
19:40:40.171: Awarded: 0 pts
19:40:40.174: Message received: teamAwesome,p@55w04d,2,HH77
19:40:40.176: Awarded: 0 pts
19:40:40.177: Message received: teamAwesome,p@55w04d,3,NA17
19:40:40.179: Awarded: 6 pts
19:40:40.182: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:40.186: Awarded: 0 pts
19:40:40.189: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:40.192: Awarded: 0 pts
19:40:40.195: Message received: teamAwesome,p@55w04d,6,AA00
19:40:40.198: Awarded: 0 pts
19:40:40.270: Message received: teamAwesome,p@55w04d,1,OL77
19:40:40.272: Awarded: 0 pts
19:40:40.273: Message received: teamAwesome,p@55w04d,2,HH77
19:40:40.276: Awarded: 0 pts
19:40:40.281: Message received: teamAwesome,p@55w04d,3,NA17
19:40:40.283: Awarded: 6 pts
19:40:40.287: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:40.291: Awarded: 0 pts
19:40:40.293: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:40.299: Awarded: 0 pts
19:40:40.302: Message received: teamAwesome,p@55w04d,6,AA00
19:40:40.305: Awarded: 0 pts
19:40:40.404: Message received: teamAwesome,p@55w04d,1,OL77
19:40:40.405: Awarded: 0 pts
19:40:40.409: Message received: teamAwesome,p@55w04d,2,HH77
19:40:40.411: Awarded: 0 pts
19:40:40.413: Message received: teamAwesome,p@55w04d,3,NA17
19:40:40.415: Awarded: 6 pts
19:40:40.416: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:40.418: Awarded: 0 pts
19:40:40.421: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:40.423: Awarded: 0 pts
19:40:40.426: Message received: teamAwesome,p@55w04d,6,AA00
19:40:40.428: Awarded: 0 pts
19:40:40.506: Message received: teamAwesome,p@55w04d,1,OL77
19:40:40.508: Awarded: 0 pts
19:40:40.509: Message received: teamAwesome,p@55w04d,2,HH77
19:40:40.511: Awarded: 0 pts
19:40:40.514: Message received: teamAwesome,p@55w04d,3,NA17
19:40:40.515: Awarded: 6 pts
19:40:40.520: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:40.523: Awarded: 0 pts
19:40:40.532: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:40.535: Awarded: 0 pts
19:40:40.540: Message received: teamAwesome,p@55w04d,6,AA00
19:40:40.545: Awarded: 0 pts
19:40:40.699: Message received: teamAwesome,p@55w04d,1,OL77
19:40:40.700: Awarded: 0 pts
19:40:40.702: Message received: teamAwesome,p@55w04d,2,HH77
19:40:40.703: Awarded: 0 pts
19:40:40.704: Message received: teamAwesome,p@55w04d,3,NA17
19:40:40.705: Awarded: 6 pts
19:40:40.707: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:40.710: Awarded: 0 pts
19:40:40.712: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:40.716: Awarded: 0 pts
19:40:40.719: Message received: teamAwesome,p@55w04d,6,AA00
19:40:40.721: Awarded: 0 pts
19:40:40.825: Message received: teamAwesome,p@55w04d,1,OL77
19:40:40.826: Awarded: 0 pts
19:40:40.828: Message received: teamAwesome,p@55w04d,2,HH77
19:40:40.831: Awarded: 0 pts
19:40:40.833: Message received: teamAwesome,p@55w04d,3,NA17
19:40:40.834: Awarded: 6 pts
19:40:40.836: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:40.837: Awarded: 0 pts
19:40:40.838: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:40.840: Awarded: 0 pts
19:40:40.848: Message received: teamAwesome,p@55w04d,6,AA00
19:40:40.853: Awarded: 0 pts
19:40:40.910: Message received: teamAwesome,p@55w04d,1,OL77
19:40:40.914: Awarded: 0 pts
19:40:40.918: Message received: teamAwesome,p@55w04d,2,HH77
19:40:40.922: Awarded: 0 pts
19:40:40.927: Message received: teamAwesome,p@55w04d,3,NA17
19:40:40.931: Awarded: 6 pts
19:40:40.934: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:40.937: Awarded: 0 pts
19:40:40.939: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:40.940: Awarded: 0 pts
19:40:40.942: Message received: teamAwesome,p@55w04d,6,AA00
19:40:40.945: Awarded: 0 pts
19:40:41.010: Message received: teamAwesome,p@55w04d,1,OL77
19:40:41.011: Awarded: 0 pts
19:40:41.013: Message received: teamAwesome,p@55w04d,2,HH77
19:40:41.015: Awarded: 0 pts
19:40:41.016: Message received: teamAwesome,p@55w04d,3,NA17
19:40:41.022: Awarded: 6 pts
19:40:41.024: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:41.026: Awarded: 0 pts
19:40:41.037: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:41.039: Awarded: 0 pts
19:40:41.053: Message received: teamAwesome,p@55w04d,6,AA00
19:40:41.057: Awarded: 0 pts
19:40:41.134: Message received: teamAwesome,p@55w04d,1,OL77
19:40:41.136: Awarded: 0 pts
19:40:41.138: Message received: teamAwesome,p@55w04d,2,HH77
19:40:41.140: Awarded: 0 pts
19:40:41.143: Message received: teamAwesome,p@55w04d,3,NA17
19:40:41.146: Awarded: 6 pts
19:40:41.154: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:41.156: Awarded: 0 pts
19:40:41.160: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:41.163: Awarded: 0 pts
19:40:41.165: Message received: teamAwesome,p@55w04d,6,AA00
19:40:41.170: Awarded: 0 pts
19:40:41.328: Message received: teamAwesome,p@55w04d,1,OL77
19:40:41.331: Awarded: 0 pts
19:40:41.340: Message received: teamAwesome,p@55w04d,2,HH77
19:40:41.344: Awarded: 0 pts
19:40:41.349: Message received: teamAwesome,p@55w04d,3,NA17
19:40:41.350: Awarded: 6 pts
19:40:41.411: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:41.418: Awarded: 0 pts
19:40:41.423: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:41.427: Awarded: 0 pts
19:40:41.430: Message received: teamAwesome,p@55w04d,6,AA00
19:40:41.432: Awarded: 0 pts
19:40:41.452: Message received: teamAwesome,p@55w04d,1,OL77
19:40:41.458: Awarded: 0 pts
19:40:41.468: Message received: teamAwesome,p@55w04d,2,HH77
19:40:41.471: Awarded: 0 pts
19:40:41.475: Message received: teamAwesome,p@55w04d,3,NA17
19:40:41.481: Awarded: 6 pts
19:40:41.483: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:41.489: Awarded: 0 pts
19:40:41.491: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:41.493: Awarded: 0 pts
19:40:41.496: Message received: teamAwesome,p@55w04d,6,AA00
19:40:41.500: Awarded: 0 pts
19:40:41.567: Message received: teamAwesome,p@55w04d,1,OL77
19:40:41.569: Awarded: 0 pts
19:40:41.571: Message received: teamAwesome,p@55w04d,2,HH77
19:40:41.575: Awarded: 0 pts
19:40:41.577: Message received: teamAwesome,p@55w04d,3,NA17
19:40:41.580: Awarded: 6 pts
19:40:41.584: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:41.587: Awarded: 0 pts
19:40:41.591: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:41.594: Awarded: 0 pts
19:40:41.597: Message received: teamAwesome,p@55w04d,6,AA00
19:40:41.599: Awarded: 0 pts
19:40:41.705: Message received: teamAwesome,p@55w04d,1,OL77
19:40:41.710: Awarded: 0 pts
19:40:41.712: Message received: teamAwesome,p@55w04d,2,HH77
19:40:41.715: Awarded: 0 pts
19:40:41.721: Message received: teamAwesome,p@55w04d,3,NA17
19:40:41.727: Awarded: 6 pts
19:40:41.732: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:41.736: Awarded: 0 pts
19:40:41.737: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:41.743: Awarded: 0 pts
19:40:41.745: Message received: teamAwesome,p@55w04d,6,AA00
19:40:41.748: Awarded: 0 pts
19:40:41.842: Message received: teamAwesome,p@55w04d,1,OL77
19:40:41.843: Awarded: 0 pts
19:40:41.845: Message received: teamAwesome,p@55w04d,2,HH77
19:40:41.848: Awarded: 0 pts
19:40:41.852: Message received: teamAwesome,p@55w04d,3,NA17
19:40:41.854: Awarded: 6 pts
19:40:41.857: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:41.860: Awarded: 0 pts
19:40:41.866: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:41.869: Awarded: 0 pts
19:40:41.873: Message received: teamAwesome,p@55w04d,6,AA00
19:40:41.874: Awarded: 0 pts
19:40:42.028: Message received: teamAwesome,p@55w04d,1,OL77
19:40:42.030: Awarded: 0 pts
19:40:42.032: Message received: teamAwesome,p@55w04d,2,HH77
19:40:42.033: Awarded: 0 pts
19:40:42.035: Message received: teamAwesome,p@55w04d,3,NA17
19:40:42.044: Awarded: 6 pts
19:40:42.047: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:42.050: Awarded: 0 pts
19:40:42.051: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:42.054: Awarded: 0 pts
19:40:42.057: Message received: teamAwesome,p@55w04d,6,AA00
19:40:42.062: Awarded: 0 pts
19:40:42.171: Message received: teamAwesome,p@55w04d,1,OL77
19:40:42.173: Awarded: 0 pts
19:40:42.180: Message received: teamAwesome,p@55w04d,2,HH77
19:40:42.193: Awarded: 0 pts
19:40:42.196: Message received: teamAwesome,p@55w04d,3,NA17
19:40:42.198: Awarded: 6 pts
19:40:42.203: Message received: teamAwesome,p@55w04d,4,WHJ7
19:40:42.215: Awarded: 0 pts
19:40:42.219: Message received: teamAwesome,p@55w04d,5,LLLL
19:40:42.222: Awarded: 0 pts
19:40:42.226: Message received: teamAwesome,p@55w04d,6,AA00
19:40:42.232: Awarded: 0 pts
