19:26:30.276: Position 1: BY94
19:28:40.405: Awarded: 0 pts
19:28:40.409: Message received: teamAwesome,p@55w04d,5,FI35
19:28:40.414: Awarded: 6 pts
19:28:40.417: Message received: teamAwesome,p@55w04d,6,DN82
19:28:40.421: Awarded: 0 pts
19:28:40.515: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:40.516: Awarded: 0 pts
19:28:40.518: Message received: teamAwesome,p@55w04d,2,GC76
19:28:40.520: Awarded: 6 pts
19:28:40.524: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:40.527: Awarded: 0 pts
19:28:40.531: Message received: teamAwesome,p@55w04d,4,5441
19:28:40.535: Awarded: 0 pts
19:28:40.539: Message received: teamAwesome,p@55w04d,5,FI35
19:28:40.542: Awarded: 6 pts
19:28:40.547: Message received: teamAwesome,p@55w04d,6,DN82
19:28:40.550: Awarded: 0 pts
19:28:40.604: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:40.605: Awarded: 0 pts
19:28:40.607: Message received: teamAwesome,p@55w04d,2,GC76
19:28:40.608: Awarded: 6 pts
19:28:40.609: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:40.612: Awarded: 0 pts
19:28:40.614: Message received: teamAwesome,p@55w04d,4,5441
19:28:40.616: Awarded: 0 pts
19:28:40.617: Message received: teamAwesome,p@55w04d,5,FI35
19:28:40.623: Awarded: 6 pts
19:28:40.625: Message received: teamAwesome,p@55w04d,6,DN82
19:28:40.630: Awarded: 0 pts
19:28:40.745: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:40.747: Awarded: 0 pts
19:28:40.749: Message received: teamAwesome,p@55w04d,2,GC76
19:28:40.751: Awarded: 6 pts
19:28:40.754: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:40.762: Awarded: 0 pts
19:28:40.764: Message received: teamAwesome,p@55w04d,4,5441
19:28:40.769: Awarded: 0 pts
19:28:40.771: Message received: teamAwesome,p@55w04d,5,FI35
19:28:40.773: Awarded: 6 pts
19:28:40.777: Message received: teamAwesome,p@55w04d,6,DN82
19:28:40.779: Awarded: 0 pts
19:28:40.871: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:40.873: Awarded: 0 pts
19:28:40.874: Message received: teamAwesome,p@55w04d,2,GC76
19:28:40.876: Awarded: 6 pts
19:28:40.877: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:40.879: Awarded: 0 pts
19:28:40.882: Message received: teamAwesome,p@55w04d,4,5441
19:28:40.886: Awarded: 0 pts
19:28:40.889: Message received: teamAwesome,p@55w04d,5,FI35
19:28:40.892: Awarded: 6 pts
19:28:40.893: Message received: teamAwesome,p@55w04d,6,DN82
19:28:40.895: Awarded: 0 pts
19:28:41.017: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:41.019: Awarded: 0 pts
19:28:41.020: Message received: teamAwesome,p@55w04d,2,GC76
19:28:41.022: Awarded: 6 pts
19:28:41.023: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:41.029: Awarded: 0 pts
19:28:41.034: Message received: teamAwesome,p@55w04d,4,5441
19:28:41.036: Awarded: 0 pts
19:28:41.040: Message received: teamAwesome,p@55w04d,5,FI35
19:28:41.047: Awarded: 6 pts
19:28:41.052: Message received: teamAwesome,p@55w04d,6,DN82
19:28:41.056: Awarded: 0 pts
19:28:41.148: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:41.150: Awarded: 0 pts
19:28:41.152: Message received: teamAwesome,p@55w04d,2,GC76
19:28:41.154: Awarded: 6 pts
19:28:41.160: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:41.164: Awarded: 0 pts
19:28:41.166: Message received: teamAwesome,p@55w04d,4,5441
19:28:41.176: Awarded: 0 pts
19:28:41.177: Message received: teamAwesome,p@55w04d,5,FI35
19:28:41.180: Awarded: 6 pts
19:28:41.183: Message received: teamAwesome,p@55w04d,6,DN82
19:28:41.185: Awarded: 0 pts
19:28:41.330: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:41.333: Awarded: 0 pts
19:28:41.338: Message received: teamAwesome,p@55w04d,2,GC76
19:28:41.341: Awarded: 6 pts
19:28:41.347: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:41.353: Awarded: 0 pts
19:28:41.357: Message received: teamAwesome,p@55w04d,4,5441
19:28:41.360: Awarded: 0 pts
19:28:41.365: Message received: teamAwesome,p@55w04d,5,FI35
19:28:41.368: Awarded: 6 pts
19:28:41.372: Message received: teamAwesome,p@55w04d,6,DN82
19:28:41.377: Awarded: 0 pts
19:28:41.417: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:41.421: Awarded: 0 pts
19:28:41.424: Message received: teamAwesome,p@55w04d,2,GC76
19:28:41.427: Awarded: 6 pts
19:28:41.432: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:41.443: Awarded: 0 pts
19:28:41.447: Message received: teamAwesome,p@55w04d,4,5441
19:28:41.452: Awarded: 0 pts
19:28:41.465: Message received: teamAwesome,p@55w04d,5,FI35
19:28:41.473: Awarded: 6 pts
19:28:41.475: Message received: teamAwesome,p@55w04d,6,DN82
19:28:41.480: Awarded: 0 pts
19:28:41.506: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:41.512: Awarded: 0 pts
19:28:41.516: Message received: teamAwesome,p@55w04d,2,GC76
19:28:41.528: Awarded: 6 pts
19:28:41.534: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:41.540: Awarded: 0 pts
19:28:41.546: Message received: teamAwesome,p@55w04d,4,5441
19:28:41.551: Awarded: 0 pts
19:28:41.558: Message received: teamAwesome,p@55w04d,5,FI35
19:28:41.561: Awarded: 6 pts
19:28:41.565: Message received: teamAwesome,p@55w04d,6,DN82
19:28:41.568: Awarded: 0 pts
19:28:41.657: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:41.660: Awarded: 0 pts
19:28:41.663: Message received: teamAwesome,p@55w04d,2,GC76
19:28:41.665: Awarded: 6 pts
19:28:41.671: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:41.672: Awarded: 0 pts
19:28:41.685: Message received: teamAwesome,p@55w04d,4,5441
19:28:41.686: Awarded: 0 pts
19:28:41.689: Message received: teamAwesome,p@55w04d,5,FI35
19:28:41.691: Awarded: 6 pts
19:28:41.694: Message received: teamAwesome,p@55w04d,6,DN82
19:28:41.701: Awarded: 0 pts
19:28:41.848: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:41.850: Awarded: 0 pts
19:28:41.858: Message received: teamAwesome,p@55w04d,2,GC76
19:28:41.860: Awarded: 6 pts
19:28:41.863: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:41.866: Awarded: 0 pts
19:28:41.870: Message received: teamAwesome,p@55w04d,4,5441
19:28:41.872: Awarded: 0 pts
19:28:41.876: Message received: teamAwesome,p@55w04d,5,FI35
19:28:41.884: Awarded: 6 pts
19:28:41.889: Message received: teamAwesome,p@55w04d,6,DN82
19:28:41.894: Awarded: 0 pts
19:28:42.090: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:42.094: Awarded: 0 pts
19:28:42.101: Message received: teamAwesome,p@55w04d,2,GC76
19:28:42.108: Awarded: 6 pts
19:28:42.124: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:42.134: Awarded: 0 pts
19:28:42.142: Message received: teamAwesome,p@55w04d,4,5441
19:28:42.149: Awarded: 0 pts
19:28:42.155: Message received: teamAwesome,p@55w04d,5,FI35
19:28:42.166: Awarded: 6 pts
19:28:42.177: Message received: teamAwesome,p@55w04d,6,DN82
19:28:42.182: Awarded: 0 pts
19:28:47.189: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.215: Awarded: 0 pts
19:28:47.217: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.218: Awarded: 6 pts
19:28:47.220: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.222: Awarded: 0 pts
19:28:47.224: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.226: Awarded: 0 pts
19:28:47.230: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.234: Awarded: 6 pts
19:28:47.237: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.240: Awarded: 0 pts
19:28:47.280: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.282: Awarded: 0 pts
19:28:47.283: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.285: Awarded: 6 pts
19:28:47.287: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.289: Awarded: 0 pts
19:28:47.294: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.299: Awarded: 0 pts
19:28:47.304: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.308: Awarded: 6 pts
19:28:47.315: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.321: Awarded: 0 pts
19:28:47.352: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.354: Awarded: 0 pts
19:28:47.378: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.382: Awarded: 6 pts
19:28:47.387: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.394: Awarded: 0 pts
19:28:47.397: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.408: Awarded: 0 pts
19:28:47.419: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.422: Awarded: 6 pts
19:28:47.425: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.429: Awarded: 0 pts
19:28:47.443: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.445: Awarded: 0 pts
19:28:47.447: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.451: Awarded: 6 pts
19:28:47.456: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.460: Awarded: 0 pts
19:28:47.467: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.471: Awarded: 0 pts
19:28:47.474: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.476: Awarded: 6 pts
19:28:47.478: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.483: Awarded: 0 pts
19:28:47.524: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.526: Awarded: 0 pts
19:28:47.528: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.530: Awarded: 6 pts
19:28:47.535: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.539: Awarded: 0 pts
19:28:47.545: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.549: Awarded: 0 pts
19:28:47.552: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.557: Awarded: 6 pts
19:28:47.560: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.568: Awarded: 0 pts
19:28:47.587: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.590: Awarded: 0 pts
19:28:47.592: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.596: Awarded: 6 pts
19:28:47.597: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.601: Awarded: 0 pts
19:28:47.605: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.611: Awarded: 0 pts
19:28:47.618: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.620: Awarded: 6 pts
19:28:47.623: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.626: Awarded: 0 pts
19:28:47.675: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.677: Awarded: 0 pts
19:28:47.679: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.681: Awarded: 6 pts
19:28:47.684: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.688: Awarded: 0 pts
19:28:47.690: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.691: Awarded: 0 pts
19:28:47.694: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.697: Awarded: 6 pts
19:28:47.701: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.703: Awarded: 0 pts
19:28:47.723: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.728: Awarded: 0 pts
19:28:47.737: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.742: Awarded: 6 pts
19:28:47.745: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.747: Awarded: 0 pts
19:28:47.749: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.751: Awarded: 0 pts
19:28:47.753: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.762: Awarded: 6 pts
19:28:47.765: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.769: Awarded: 0 pts
19:28:47.790: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.793: Awarded: 0 pts
19:28:47.794: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.796: Awarded: 6 pts
19:28:47.804: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.807: Awarded: 0 pts
19:28:47.809: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.812: Awarded: 0 pts
19:28:47.815: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.817: Awarded: 6 pts
19:28:47.820: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.822: Awarded: 0 pts
19:28:47.867: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.873: Awarded: 0 pts
19:28:47.874: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.876: Awarded: 6 pts
19:28:47.878: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.880: Awarded: 0 pts
19:28:47.888: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.889: Awarded: 0 pts
19:28:47.892: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.894: Awarded: 6 pts
19:28:47.896: Message received: teamAwesome,p@55w04d,6,DN82
19:28:47.899: Awarded: 0 pts
19:28:47.959: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:47.961: Awarded: 0 pts
19:28:47.965: Message received: teamAwesome,p@55w04d,2,GC76
19:28:47.968: Awarded: 6 pts
19:28:47.970: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:47.976: Awarded: 0 pts
19:28:47.982: Message received: teamAwesome,p@55w04d,4,5441
19:28:47.986: Awarded: 0 pts
19:28:47.990: Message received: teamAwesome,p@55w04d,5,FI35
19:28:47.996: Awarded: 6 pts
19:28:48.003: Message received: teamAwesome,p@55w04d,6,DN82
19:28:48.007: Awarded: 0 pts
19:28:48.010: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:48.013: Awarded: 0 pts
19:28:48.016: Message received: teamAwesome,p@55w04d,2,GC76
19:28:48.021: Awarded: 6 pts
19:28:48.025: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:48.029: Awarded: 0 pts
19:28:48.032: Message received: teamAwesome,p@55w04d,4,5441
19:28:48.036: Awarded: 0 pts
19:28:48.039: Message received: teamAwesome,p@55w04d,5,FI35
19:28:48.044: Awarded: 6 pts
19:28:48.047: Message received: teamAwesome,p@55w04d,6,DN82
19:28:48.050: Awarded: 0 pts
19:28:48.142: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:48.144: Awarded: 0 pts
19:28:48.151: Message received: teamAwesome,p@55w04d,2,GC76
19:28:48.155: Awarded: 6 pts
19:28:48.162: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:48.166: Awarded: 0 pts
19:28:48.169: Message received: teamAwesome,p@55w04d,4,5441
19:28:48.181: Awarded: 0 pts
19:28:48.184: Message received: teamAwesome,p@55w04d,5,FI35
19:28:48.187: Awarded: 6 pts
19:28:48.189: Message received: teamAwesome,p@55w04d,6,DN82
19:28:48.193: Awarded: 0 pts
19:28:48.240: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:48.242: Awarded: 0 pts
19:28:48.244: Message received: teamAwesome,p@55w04d,2,GC76
19:28:48.246: Awarded: 6 pts
19:28:48.247: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:48.254: Awarded: 0 pts
19:28:48.255: Message received: teamAwesome,p@55w04d,4,5441
19:28:48.257: Awarded: 0 pts
19:28:48.267: Message received: teamAwesome,p@55w04d,5,FI35
19:28:48.269: Awarded: 6 pts
19:28:48.285: Message received: teamAwesome,p@55w04d,6,DN82
19:28:48.288: Awarded: 0 pts
19:28:48.368: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:48.370: Awarded: 0 pts
19:28:48.373: Message received: teamAwesome,p@55w04d,2,GC76
19:28:48.374: Awarded: 6 pts
19:28:48.378: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:48.380: Awarded: 0 pts
19:28:48.384: Message received: teamAwesome,p@55w04d,4,5441
19:28:48.386: Awarded: 0 pts
19:28:48.394: Message received: teamAwesome,p@55w04d,5,FI35
19:28:48.398: Awarded: 6 pts
19:28:48.403: Message received: teamAwesome,p@55w04d,6,DN82
19:28:48.407: Awarded: 0 pts
19:28:48.525: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:48.526: Awarded: 0 pts
19:28:48.528: Message received: teamAwesome,p@55w04d,2,GC76
19:28:48.530: Awarded: 6 pts
19:28:48.532: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:48.538: Awarded: 0 pts
19:28:48.541: Message received: teamAwesome,p@55w04d,4,5441
19:28:48.545: Awarded: 0 pts
19:28:48.550: Message received: teamAwesome,p@55w04d,5,FI35
19:28:48.553: Awarded: 6 pts
19:28:48.557: Message received: teamAwesome,p@55w04d,6,DN82
19:28:48.560: Awarded: 0 pts
19:28:48.599: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:48.602: Awarded: 0 pts
19:28:48.604: Message received: teamAwesome,p@55w04d,2,GC76
19:28:48.608: Awarded: 6 pts
19:28:48.614: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:48.619: Awarded: 0 pts
19:28:48.624: Message received: teamAwesome,p@55w04d,4,5441
19:28:48.629: Awarded: 0 pts
19:28:48.635: Message received: teamAwesome,p@55w04d,5,FI35
19:28:48.640: Awarded: 6 pts
19:28:48.642: Message received: teamAwesome,p@55w04d,6,DN82
19:28:48.643: Awarded: 0 pts
19:28:48.750: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:48.754: Awarded: 0 pts
19:28:48.758: Message received: teamAwesome,p@55w04d,2,GC76
19:28:48.760: Awarded: 6 pts
19:28:48.765: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:48.767: Awarded: 0 pts
19:28:48.775: Message received: teamAwesome,p@55w04d,4,5441
19:28:48.780: Awarded: 0 pts
19:28:48.782: Message received: teamAwesome,p@55w04d,5,FI35
19:28:48.792: Awarded: 6 pts
19:28:48.799: Message received: teamAwesome,p@55w04d,6,DN82
19:28:48.803: Awarded: 0 pts
19:28:48.872: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:48.873: Awarded: 0 pts
19:28:48.875: Message received: teamAwesome,p@55w04d,2,GC76
19:28:48.878: Awarded: 6 pts
19:28:48.880: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:48.883: Awarded: 0 pts
19:28:48.886: Message received: teamAwesome,p@55w04d,4,5441
19:28:48.887: Awarded: 0 pts
19:28:48.889: Message received: teamAwesome,p@55w04d,5,FI35
19:28:48.890: Awarded: 6 pts
19:28:48.893: Message received: teamAwesome,p@55w04d,6,DN82
19:28:48.896: Awarded: 0 pts
19:28:48.983: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:48.985: Awarded: 0 pts
19:28:48.987: Message received: teamAwesome,p@55w04d,2,GC76
19:28:48.989: Awarded: 6 pts
19:28:48.990: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:48.993: Awarded: 0 pts
19:28:49.004: Message received: teamAwesome,p@55w04d,4,5441
19:28:49.010: Awarded: 0 pts
19:28:49.012: Message received: teamAwesome,p@55w04d,5,FI35
19:28:49.014: Awarded: 6 pts
19:28:49.016: Message received: teamAwesome,p@55w04d,6,DN82
19:28:49.019: Awarded: 0 pts
19:28:49.129: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:49.132: Awarded: 0 pts
19:28:49.134: Message received: teamAwesome,p@55w04d,2,GC76
19:28:49.135: Awarded: 6 pts
19:28:49.137: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:49.143: Awarded: 0 pts
19:28:49.155: Message received: teamAwesome,p@55w04d,4,5441
19:28:49.159: Awarded: 0 pts
19:28:49.165: Message received: teamAwesome,p@55w04d,5,FI35
19:28:49.169: Awarded: 6 pts
19:28:49.171: Message received: teamAwesome,p@55w04d,6,DN82
19:28:49.173: Awarded: 0 pts
19:28:49.241: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:49.244: Awarded: 0 pts
19:28:49.246: Message received: teamAwesome,p@55w04d,2,GC76
19:28:49.247: Awarded: 6 pts
19:28:49.250: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:49.254: Awarded: 0 pts
19:28:49.259: Message received: teamAwesome,p@55w04d,4,5441
19:28:49.263: Awarded: 0 pts
19:28:49.270: Message received: teamAwesome,p@55w04d,5,FI35
19:28:49.274: Awarded: 6 pts
19:28:49.275: Message received: teamAwesome,p@55w04d,6,DN82
19:28:49.277: Awarded: 0 pts
19:28:49.352: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:49.356: Awarded: 0 pts
19:28:49.357: Message received: teamAwesome,p@55w04d,2,GC76
19:28:49.359: Awarded: 6 pts
19:28:49.361: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:49.363: Awarded: 0 pts
19:28:49.365: Message received: teamAwesome,p@55w04d,4,5441
19:28:49.366: Awarded: 0 pts
19:28:49.368: Message received: teamAwesome,p@55w04d,5,FI35
19:28:49.370: Awarded: 6 pts
19:28:49.377: Message received: teamAwesome,p@55w04d,6,DN82
19:28:49.379: Awarded: 0 pts
19:28:49.482: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:49.485: Awarded: 0 pts
19:28:49.487: Message received: teamAwesome,p@55w04d,2,GC76
19:28:49.489: Awarded: 6 pts
19:28:49.491: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:49.494: Awarded: 0 pts
19:28:49.496: Message received: teamAwesome,p@55w04d,4,5441
19:28:49.500: Awarded: 0 pts
19:28:49.502: Message received: teamAwesome,p@55w04d,5,FI35
19:28:49.505: Awarded: 6 pts
19:28:49.507: Message received: teamAwesome,p@55w04d,6,DN82
19:28:49.510: Awarded: 0 pts
19:28:49.551: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:49.555: Awarded: 0 pts
19:28:49.560: Message received: teamAwesome,p@55w04d,2,GC76
19:28:49.563: Awarded: 6 pts
19:28:49.565: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:49.569: Awarded: 0 pts
19:28:49.571: Message received: teamAwesome,p@55w04d,4,5441
19:28:49.576: Awarded: 0 pts
19:28:49.578: Message received: teamAwesome,p@55w04d,5,FI35
19:28:49.582: Awarded: 6 pts
19:28:49.584: Message received: teamAwesome,p@55w04d,6,DN82
19:28:49.586: Awarded: 0 pts
19:28:49.700: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:49.703: Awarded: 0 pts
19:28:49.704: Message received: teamAwesome,p@55w04d,2,GC76
19:28:49.706: Awarded: 6 pts
19:28:49.712: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:49.720: Awarded: 0 pts
19:28:49.730: Message received: teamAwesome,p@55w04d,4,5441
19:28:49.735: Awarded: 0 pts
19:28:49.740: Message received: teamAwesome,p@55w04d,5,FI35
19:28:49.749: Awarded: 6 pts
19:28:49.751: Message received: teamAwesome,p@55w04d,6,DN82
19:28:49.753: Awarded: 0 pts
19:28:49.812: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:49.815: Awarded: 0 pts
19:28:49.817: Message received: teamAwesome,p@55w04d,2,GC76
19:28:49.821: Awarded: 6 pts
19:28:49.827: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:49.828: Awarded: 0 pts
19:28:49.832: Message received: teamAwesome,p@55w04d,4,5441
19:28:49.834: Awarded: 0 pts
19:28:49.838: Message received: teamAwesome,p@55w04d,5,FI35
19:28:49.840: Awarded: 6 pts
19:28:49.844: Message received: teamAwesome,p@55w04d,6,DN82
19:28:49.846: Awarded: 0 pts
19:28:49.916: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:49.918: Awarded: 0 pts
19:28:49.920: Message received: teamAwesome,p@55w04d,2,GC76
19:28:49.921: Awarded: 6 pts
19:28:49.923: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:49.926: Awarded: 0 pts
19:28:49.929: Message received: teamAwesome,p@55w04d,4,5441
19:28:49.931: Awarded: 0 pts
19:28:49.941: Message received: teamAwesome,p@55w04d,5,FI35
19:28:49.944: Awarded: 6 pts
19:28:49.946: Message received: teamAwesome,p@55w04d,6,DN82
19:28:49.948: Awarded: 0 pts
19:28:50.091: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:50.094: Awarded: 0 pts
19:28:50.097: Message received: teamAwesome,p@55w04d,2,GC76
19:28:50.098: Awarded: 6 pts
19:28:50.102: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:50.105: Awarded: 0 pts
19:28:50.114: Message received: teamAwesome,p@55w04d,4,5441
19:28:50.120: Awarded: 0 pts
19:28:50.123: Message received: teamAwesome,p@55w04d,5,FI35
19:28:50.126: Awarded: 6 pts
19:28:50.129: Message received: teamAwesome,p@55w04d,6,DN82
19:28:50.131: Awarded: 0 pts
19:28:50.238: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:50.241: Awarded: 0 pts
19:28:50.242: Message received: teamAwesome,p@55w04d,2,GC76
19:28:50.245: Awarded: 6 pts
19:28:50.251: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:50.256: Awarded: 0 pts
19:28:50.259: Message received: teamAwesome,p@55w04d,4,5441
19:28:50.261: Awarded: 0 pts
19:28:50.263: Message received: teamAwesome,p@55w04d,5,FI35
19:28:50.267: Awarded: 6 pts
19:28:50.269: Message received: teamAwesome,p@55w04d,6,DN82
19:28:50.274: Awarded: 0 pts
19:28:50.381: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:50.383: Awarded: 0 pts
19:28:50.385: Message received: teamAwesome,p@55w04d,2,GC76
19:28:50.387: Awarded: 6 pts
19:28:50.389: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:50.391: Awarded: 0 pts
19:28:50.393: Message received: teamAwesome,p@55w04d,4,5441
19:28:50.399: Awarded: 0 pts
19:28:50.403: Message received: teamAwesome,p@55w04d,5,FI35
19:28:50.409: Awarded: 6 pts
19:28:50.411: Message received: teamAwesome,p@55w04d,6,DN82
19:28:50.413: Awarded: 0 pts
19:28:50.491: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:50.493: Awarded: 0 pts
19:28:50.496: Message received: teamAwesome,p@55w04d,2,GC76
19:28:50.498: Awarded: 6 pts
19:28:50.501: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:50.515: Awarded: 0 pts
19:28:50.527: Message received: teamAwesome,p@55w04d,4,5441
19:28:50.533: Awarded: 0 pts
19:28:50.536: Message received: teamAwesome,p@55w04d,5,FI35
19:28:50.539: Awarded: 6 pts
19:28:50.544: Message received: teamAwesome,p@55w04d,6,DN82
19:28:50.547: Awarded: 0 pts
19:28:50.667: Message received: teamAwesome,p@55w04d,1,LLLL
19:28:50.669: Awarded: 0 pts
19:28:50.680: Message received: teamAwesome,p@55w04d,2,GC76
19:28:50.684: Awarded: 6 pts
19:28:50.687: Message received: teamAwesome,p@55w04d,3,HJ37
19:28:50.694: Awarded: 0 pts
19:28:50.699: Message received: teamAwesome,p@55w04d,4,5441
19:28:50.703: Awarded: 0 pts
19:28:50.705: Message received: teamAwesome,p@55w04d,5,FI35
19:28:50.710: Awarded: 6 pts
19:28:50.712: Message received: teamAwesome,p@55w04d,6,DN82
19:28:50.714: Awarded: 0 pts
19:28:50.764: Message received: teamAwesome,p@55w04d,1,LLLL
