19:42:20.411: Position 1: JE45
19:44:03.361: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:03.362: Awarded: 0 pts
19:44:03.364: Message received: teamAwesome,p@55w04d,6,KG77
19:44:03.365: Awarded: 0 pts
19:44:03.472: Message received: teamAwesome,p@55w04d,1,AA00
19:44:03.474: Awarded: 0 pts
19:44:03.475: Message received: teamAwesome,p@55w04d,2,GH11
19:44:03.478: Awarded: 0 pts
19:44:03.479: Message received: teamAwesome,p@55w04d,3,KC11
19:44:03.481: Awarded: 6 pts
19:44:03.484: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:03.488: Awarded: 0 pts
19:44:03.490: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:03.492: Awarded: 0 pts
19:44:03.493: Message received: teamAwesome,p@55w04d,6,KG77
19:44:03.496: Awarded: 0 pts
19:44:03.647: Message received: teamAwesome,p@55w04d,1,AA00
19:44:03.648: Awarded: 0 pts
19:44:03.650: Message received: teamAwesome,p@55w04d,2,GH11
19:44:03.652: Awarded: 0 pts
19:44:03.662: Message received: teamAwesome,p@55w04d,3,KC11
19:44:03.671: Awarded: 6 pts
19:44:03.674: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:03.681: Awarded: 0 pts
19:44:03.687: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:03.690: Awarded: 0 pts
19:44:03.693: Message received: teamAwesome,p@55w04d,6,KG77
19:44:03.701: Awarded: 0 pts
19:44:03.850: Message received: teamAwesome,p@55w04d,1,AA00
19:44:03.852: Awarded: 0 pts
19:44:03.860: Message received: teamAwesome,p@55w04d,2,GH11
19:44:03.863: Awarded: 0 pts
19:44:03.865: Message received: teamAwesome,p@55w04d,3,KC11
19:44:03.867: Awarded: 6 pts
19:44:03.872: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:03.881: Awarded: 0 pts
19:44:03.885: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:03.890: Awarded: 0 pts
19:44:03.892: Message received: teamAwesome,p@55w04d,6,KG77
19:44:03.898: Awarded: 0 pts
19:44:03.989: Message received: teamAwesome,p@55w04d,1,AA00
19:44:03.991: Awarded: 0 pts
19:44:03.992: Message received: teamAwesome,p@55w04d,2,GH11
19:44:03.993: Awarded: 0 pts
19:44:03.998: Message received: teamAwesome,p@55w04d,3,KC11
19:44:04.002: Awarded: 6 pts
19:44:04.006: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:04.010: Awarded: 0 pts
19:44:04.022: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:04.027: Awarded: 0 pts
19:44:04.032: Message received: teamAwesome,p@55w04d,6,KG77
19:44:04.039: Awarded: 0 pts
19:44:04.219: Message received: teamAwesome,p@55w04d,1,AA00
19:44:04.220: Awarded: 0 pts
19:44:04.221: Message received: teamAwesome,p@55w04d,2,GH11
19:44:04.237: Awarded: 0 pts
19:44:04.248: Message received: teamAwesome,p@55w04d,3,KC11
19:44:04.258: Awarded: 6 pts
19:44:04.265: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:04.268: Awarded: 0 pts
19:44:04.270: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:04.274: Awarded: 0 pts
19:44:04.276: Message received: teamAwesome,p@55w04d,6,KG77
19:44:04.279: Awarded: 0 pts
19:44:04.340: Message received: teamAwesome,p@55w04d,1,AA00
19:44:04.345: Awarded: 0 pts
19:44:04.346: Message received: teamAwesome,p@55w04d,2,GH11
19:44:04.347: Awarded: 0 pts
19:44:04.348: Message received: teamAwesome,p@55w04d,3,KC11
19:44:04.351: Awarded: 6 pts
19:44:04.354: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:04.356: Awarded: 0 pts
19:44:04.359: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:04.366: Awarded: 0 pts
19:44:04.369: Message received: teamAwesome,p@55w04d,6,KG77
19:44:04.373: Awarded: 0 pts
19:44:04.498: Message received: teamAwesome,p@55w04d,1,AA00
19:44:04.501: Awarded: 0 pts
19:44:04.502: Message received: teamAwesome,p@55w04d,2,GH11
19:44:04.504: Awarded: 0 pts
19:44:04.508: Message received: teamAwesome,p@55w04d,3,KC11
19:44:04.510: Awarded: 6 pts
19:44:04.512: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:04.515: Awarded: 0 pts
19:44:04.519: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:04.522: Awarded: 0 pts
19:44:04.523: Message received: teamAwesome,p@55w04d,6,KG77
19:44:04.525: Awarded: 0 pts
19:44:04.605: Message received: teamAwesome,p@55w04d,1,AA00
19:44:04.607: Awarded: 0 pts
19:44:04.610: Message received: teamAwesome,p@55w04d,2,GH11
19:44:04.611: Awarded: 0 pts
19:44:04.612: Message received: teamAwesome,p@55w04d,3,KC11
19:44:04.616: Awarded: 6 pts
19:44:04.621: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:04.625: Awarded: 0 pts
19:44:04.628: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:04.633: Awarded: 0 pts
19:44:04.635: Message received: teamAwesome,p@55w04d,6,KG77
19:44:04.638: Awarded: 0 pts
19:44:04.817: Message received: teamAwesome,p@55w04d,1,AA00
19:44:04.818: Awarded: 0 pts
19:44:04.819: Message received: teamAwesome,p@55w04d,2,GH11
19:44:04.821: Awarded: 0 pts
19:44:04.824: Message received: teamAwesome,p@55w04d,3,KC11
19:44:04.827: Awarded: 6 pts
19:44:04.831: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:04.833: Awarded: 0 pts
19:44:04.834: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:04.836: Awarded: 0 pts
19:44:04.837: Message received: teamAwesome,p@55w04d,6,KG77
19:44:04.849: Awarded: 0 pts
19:44:05.035: Message received: teamAwesome,p@55w04d,1,AA00
19:44:05.037: Awarded: 0 pts
19:44:05.039: Message received: teamAwesome,p@55w04d,2,GH11
19:44:05.042: Awarded: 0 pts
19:44:05.052: Message received: teamAwesome,p@55w04d,3,KC11
19:44:05.055: Awarded: 6 pts
19:44:05.059: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:05.068: Awarded: 0 pts
19:44:05.079: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:05.086: Awarded: 0 pts
19:44:05.092: Message received: teamAwesome,p@55w04d,6,KG77
19:44:05.098: Awarded: 0 pts
19:44:05.265: Message received: teamAwesome,p@55w04d,1,AA00
19:44:05.268: Awarded: 0 pts
19:44:05.278: Message received: teamAwesome,p@55w04d,2,GH11
19:44:05.281: Awarded: 0 pts
19:44:05.283: Message received: teamAwesome,p@55w04d,3,KC11
19:44:05.287: Awarded: 6 pts
19:44:05.289: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:05.292: Awarded: 0 pts
19:44:05.298: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:05.303: Awarded: 0 pts
19:44:05.306: Message received: teamAwesome,p@55w04d,6,KG77
19:44:05.309: Awarded: 0 pts
19:44:05.405: Message received: teamAwesome,p@55w04d,1,AA00
19:44:05.407: Awarded: 0 pts
19:44:05.408: Message received: teamAwesome,p@55w04d,2,GH11
19:44:05.409: Awarded: 0 pts
19:44:05.411: Message received: teamAwesome,p@55w04d,3,KC11
19:44:05.415: Awarded: 6 pts
19:44:05.428: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:05.430: Awarded: 0 pts
19:44:05.436: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:05.440: Awarded: 0 pts
19:44:05.443: Message received: teamAwesome,p@55w04d,6,KG77
19:44:05.448: Awarded: 0 pts
19:44:05.571: Message received: teamAwesome,p@55w04d,1,AA00
19:44:05.574: Awarded: 0 pts
19:44:05.575: Message received: teamAwesome,p@55w04d,2,GH11
19:44:05.577: Awarded: 0 pts
19:44:05.579: Message received: teamAwesome,p@55w04d,3,KC11
19:44:05.581: Awarded: 6 pts
19:44:05.585: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:05.586: Awarded: 0 pts
19:44:05.590: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:05.594: Awarded: 0 pts
19:44:05.596: Message received: teamAwesome,p@55w04d,6,KG77
19:44:05.598: Awarded: 0 pts
19:44:05.765: Message received: teamAwesome,p@55w04d,1,AA00
19:44:05.766: Awarded: 0 pts
19:44:05.768: Message received: teamAwesome,p@55w04d,2,GH11
19:44:05.769: Awarded: 0 pts
19:44:05.770: Message received: teamAwesome,p@55w04d,3,KC11
19:44:05.771: Awarded: 6 pts
19:44:05.773: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:05.774: Awarded: 0 pts
19:44:05.776: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:05.777: Awarded: 0 pts
19:44:05.779: Message received: teamAwesome,p@55w04d,6,KG77
19:44:05.781: Awarded: 0 pts
19:44:05.918: Message received: teamAwesome,p@55w04d,1,AA00
19:44:05.920: Awarded: 0 pts
19:44:05.921: Message received: teamAwesome,p@55w04d,2,GH11
19:44:05.923: Awarded: 0 pts
19:44:05.927: Message received: teamAwesome,p@55w04d,3,KC11
19:44:05.929: Awarded: 6 pts
19:44:05.932: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:05.936: Awarded: 0 pts
19:44:05.942: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:05.947: Awarded: 0 pts
19:44:05.955: Message received: teamAwesome,p@55w04d,6,KG77
19:44:05.959: Awarded: 0 pts
19:44:06.052: Message received: teamAwesome,p@55w04d,1,AA00
19:44:06.053: Awarded: 0 pts
19:44:06.055: Message received: teamAwesome,p@55w04d,2,GH11
19:44:06.057: Awarded: 0 pts
19:44:06.058: Message received: teamAwesome,p@55w04d,3,KC11
19:44:06.060: Awarded: 6 pts
19:44:06.062: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:06.064: Awarded: 0 pts
19:44:06.067: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:06.069: Awarded: 0 pts
19:44:06.070: Message received: teamAwesome,p@55w04d,6,KG77
19:44:06.071: Awarded: 0 pts
19:44:06.224: Message received: teamAwesome,p@55w04d,1,AA00
19:44:06.225: Awarded: 0 pts
19:44:06.229: Message received: teamAwesome,p@55w04d,2,GH11
19:44:06.230: Awarded: 0 pts
19:44:06.232: Message received: teamAwesome,p@55w04d,3,KC11
19:44:06.233: Awarded: 6 pts
19:44:06.235: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:06.236: Awarded: 0 pts
19:44:06.238: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:06.239: Awarded: 0 pts
19:44:06.243: Message received: teamAwesome,p@55w04d,6,KG77
19:44:06.245: Awarded: 0 pts
19:44:06.401: Message received: teamAwesome,p@55w04d,1,AA00
19:44:06.402: Awarded: 0 pts
19:44:06.406: Message received: teamAwesome,p@55w04d,2,GH11
19:44:06.409: Awarded: 0 pts
19:44:06.411: Message received: teamAwesome,p@55w04d,3,KC11
19:44:06.414: Awarded: 6 pts
19:44:06.421: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:06.423: Awarded: 0 pts
19:44:06.425: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:06.426: Awarded: 0 pts
19:44:06.428: Message received: teamAwesome,p@55w04d,6,KG77
19:44:06.433: Awarded: 0 pts
19:44:06.513: Message received: teamAwesome,p@55w04d,1,AA00
19:44:06.516: Awarded: 0 pts
19:44:06.519: Message received: teamAwesome,p@55w04d,2,GH11
19:44:06.521: Awarded: 0 pts
19:44:06.523: Message received: teamAwesome,p@55w04d,3,KC11
19:44:06.525: Awarded: 6 pts
19:44:06.528: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:06.531: Awarded: 0 pts
19:44:06.534: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:06.537: Awarded: 0 pts
19:44:06.540: Message received: teamAwesome,p@55w04d,6,KG77
19:44:06.541: Awarded: 0 pts
19:44:06.675: Message received: teamAwesome,p@55w04d,1,AA00
19:44:06.676: Awarded: 0 pts
19:44:06.678: Message received: teamAwesome,p@55w04d,2,GH11
19:44:06.679: Awarded: 0 pts
19:44:06.682: Message received: teamAwesome,p@55w04d,3,KC11
19:44:06.683: Awarded: 6 pts
19:44:06.686: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:06.691: Awarded: 0 pts
19:44:06.693: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:06.694: Awarded: 0 pts
19:44:06.696: Message received: teamAwesome,p@55w04d,6,KG77
19:44:06.703: Awarded: 0 pts
19:44:06.853: Message received: teamAwesome,p@55w04d,1,AA00
19:44:06.854: Awarded: 0 pts
19:44:06.858: Message received: teamAwesome,p@55w04d,2,GH11
19:44:06.860: Awarded: 0 pts
19:44:06.862: Message received: teamAwesome,p@55w04d,3,KC11
19:44:06.867: Awarded: 6 pts
19:44:06.869: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:06.871: Awarded: 0 pts
19:44:06.872: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:06.874: Awarded: 0 pts
19:44:06.876: Message received: teamAwesome,p@55w04d,6,KG77
19:44:06.881: Awarded: 0 pts
19:44:07.027: Message received: teamAwesome,p@55w04d,1,AA00
19:44:07.030: Awarded: 0 pts
19:44:07.032: Message received: teamAwesome,p@55w04d,2,GH11
19:44:07.034: Awarded: 0 pts
19:44:07.035: Message received: teamAwesome,p@55w04d,3,KC11
19:44:07.036: Awarded: 6 pts
19:44:07.037: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:07.039: Awarded: 0 pts
19:44:07.041: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:07.044: Awarded: 0 pts
19:44:07.049: Message received: teamAwesome,p@55w04d,6,KG77
19:44:07.051: Awarded: 0 pts
19:44:07.266: Message received: teamAwesome,p@55w04d,1,AA00
19:44:07.267: Awarded: 0 pts
19:44:07.269: Message received: teamAwesome,p@55w04d,2,GH11
19:44:07.271: Awarded: 0 pts
19:44:07.278: Message received: teamAwesome,p@55w04d,3,KC11
19:44:07.283: Awarded: 6 pts
19:44:07.286: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:07.289: Awarded: 0 pts
19:44:07.293: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:07.296: Awarded: 0 pts
19:44:07.309: Message received: teamAwesome,p@55w04d,6,KG77
19:44:07.322: Awarded: 0 pts
19:44:07.385: Message received: teamAwesome,p@55w04d,1,AA00
19:44:07.388: Awarded: 0 pts
19:44:07.389: Message received: teamAwesome,p@55w04d,2,GH11
19:44:07.390: Awarded: 0 pts
19:44:07.392: Message received: teamAwesome,p@55w04d,3,KC11
19:44:07.396: Awarded: 6 pts
19:44:07.397: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:07.399: Awarded: 0 pts
19:44:07.407: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:07.415: Awarded: 0 pts
19:44:07.418: Message received: teamAwesome,p@55w04d,6,KG77
19:44:07.426: Awarded: 0 pts
19:44:07.575: Message received: teamAwesome,p@55w04d,1,AA00
19:44:07.577: Awarded: 0 pts
19:44:07.607: Message received: teamAwesome,p@55w04d,2,GH11
19:44:07.608: Awarded: 0 pts
19:44:07.610: Message received: teamAwesome,p@55w04d,3,KC11
19:44:07.611: Awarded: 6 pts
19:44:07.614: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:07.618: Awarded: 0 pts
19:44:07.621: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:07.622: Awarded: 0 pts
19:44:07.624: Message received: teamAwesome,p@55w04d,6,KG77
19:44:07.625: Awarded: 0 pts
19:44:07.697: Message received: teamAwesome,p@55w04d,1,AA00
19:44:07.698: Awarded: 0 pts
19:44:07.699: Message received: teamAwesome,p@55w04d,2,GH11
19:44:07.700: Awarded: 0 pts
19:44:07.701: Message received: teamAwesome,p@55w04d,3,KC11
19:44:07.703: Awarded: 6 pts
19:44:07.708: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:07.710: Awarded: 0 pts
19:44:07.713: Message received: teamAwesome,p@55w04d,5,LLL7
19:44:07.717: Awarded: 0 pts
19:44:07.719: Message received: teamAwesome,p@55w04d,6,KG77
19:44:07.722: Awarded: 0 pts
19:44:08.507: Message received: teamAwesome,p@55w04d,1,AA00
19:44:08.511: Awarded: 0 pts
19:44:08.523: Message received: teamAwesome,p@55w04d,2,GH11
19:44:08.531: Awarded: 0 pts
19:44:08.533: Message received: teamAwesome,p@55w04d,3,KC11
19:44:08.534: Awarded: 6 pts
19:44:08.535: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:08.539: Awarded: 0 pts
19:44:08.545: Message received: teamAwesome,p@55w04d,5,XT17
19:44:08.550: Awarded: 6 pts
19:44:08.559: Team total: 12 pts
19:44:08.564: Message received: teamAwesome,p@55w04d,6,KG77
19:44:08.568: Awarded: 0 pts
19:44:09.453: Message received: teamAwesome,p@55w04d,1,AA00
19:44:09.456: Awarded: 0 pts
19:44:09.457: Message received: teamAwesome,p@55w04d,2,GH11
19:44:09.460: Awarded: 0 pts
19:44:09.463: Message received: teamAwesome,p@55w04d,3,KC11
19:44:09.464: Awarded: 6 pts
19:44:09.466: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:09.468: Awarded: 0 pts
19:44:09.470: Message received: teamAwesome,p@55w04d,5,XT17
19:44:09.475: Awarded: 6 pts
19:44:09.477: Message received: teamAwesome,p@55w04d,6,KG77
19:44:09.479: Awarded: 0 pts
19:44:09.528: Message received: teamAwesome,p@55w04d,1,AA00
19:44:09.532: Awarded: 0 pts
19:44:09.536: Message received: teamAwesome,p@55w04d,2,GH11
19:44:09.537: Awarded: 0 pts
19:44:09.538: Message received: teamAwesome,p@55w04d,3,KC11
19:44:09.542: Awarded: 6 pts
19:44:09.548: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:09.550: Awarded: 0 pts
19:44:09.557: Message received: teamAwesome,p@55w04d,5,XT17
19:44:09.560: Awarded: 6 pts
19:44:09.567: Message received: teamAwesome,p@55w04d,6,KG77
19:44:09.572: Awarded: 0 pts
19:44:09.591: Message received: teamAwesome,p@55w04d,1,AA00
19:44:09.593: Awarded: 0 pts
19:44:09.595: Message received: teamAwesome,p@55w04d,2,GH11
19:44:09.597: Awarded: 0 pts
19:44:09.598: Message received: teamAwesome,p@55w04d,3,KC11
19:44:09.603: Awarded: 6 pts
19:44:09.608: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:09.611: Awarded: 0 pts
19:44:09.620: Message received: teamAwesome,p@55w04d,5,XT17
19:44:09.622: Awarded: 6 pts
19:44:09.629: Message received: teamAwesome,p@55w04d,6,KG77
19:44:09.635: Awarded: 0 pts
19:44:09.675: Message received: teamAwesome,p@55w04d,1,AA00
19:44:09.677: Awarded: 0 pts
19:44:09.682: Message received: teamAwesome,p@55w04d,2,GH11
19:44:09.685: Awarded: 0 pts
19:44:09.686: Message received: teamAwesome,p@55w04d,3,KC11
19:44:09.691: Awarded: 6 pts
19:44:09.696: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:09.700: Awarded: 0 pts
19:44:09.702: Message received: teamAwesome,p@55w04d,5,XT17
19:44:09.708: Awarded: 6 pts
19:44:09.713: Message received: teamAwesome,p@55w04d,6,KG77
19:44:09.720: Awarded: 0 pts
19:44:09.781: Message received: teamAwesome,p@55w04d,1,AA00
19:44:09.784: Awarded: 0 pts
19:44:09.787: Message received: teamAwesome,p@55w04d,2,GH11
19:44:09.789: Awarded: 0 pts
19:44:09.806: Message received: teamAwesome,p@55w04d,3,KC11
19:44:09.810: Awarded: 6 pts
19:44:09.811: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:09.814: Awarded: 0 pts
19:44:09.816: Message received: teamAwesome,p@55w04d,5,XT17
19:44:09.819: Awarded: 6 pts
19:44:09.823: Message received: teamAwesome,p@55w04d,6,KG77
19:44:09.832: Awarded: 0 pts
19:44:09.855: Message received: teamAwesome,p@55w04d,1,AA00
19:44:09.857: Awarded: 0 pts
19:44:09.861: Message received: teamAwesome,p@55w04d,2,GH11
19:44:09.872: Awarded: 0 pts
19:44:09.877: Message received: teamAwesome,p@55w04d,3,KC11
19:44:09.883: Awarded: 6 pts
19:44:09.886: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:09.887: Awarded: 0 pts
19:44:09.890: Message received: teamAwesome,p@55w04d,5,XT17
19:44:09.893: Awarded: 6 pts
19:44:09.896: Message received: teamAwesome,p@55w04d,6,KG77
19:44:09.902: Awarded: 0 pts
19:44:09.912: Message received: teamAwesome,p@55w04d,1,AA00
19:44:09.916: Awarded: 0 pts
19:44:09.919: Message received: teamAwesome,p@55w04d,2,GH11
19:44:09.925: Awarded: 0 pts
19:44:09.927: Message received: teamAwesome,p@55w04d,3,KC11
19:44:09.931: Awarded: 6 pts
19:44:09.935: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:09.937: Awarded: 0 pts
19:44:09.939: Message received: teamAwesome,p@55w04d,5,XT17
19:44:09.943: Awarded: 6 pts
19:44:09.945: Message received: teamAwesome,p@55w04d,6,KG77
19:44:09.946: Awarded: 0 pts
19:44:09.948: Message received: teamAwesome,p@55w04d,1,AA00
19:44:09.950: Awarded: 0 pts
19:44:09.952: Message received: teamAwesome,p@55w04d,2,GH11
19:44:09.954: Awarded: 0 pts
19:44:09.957: Message received: teamAwesome,p@55w04d,3,KC11
19:44:09.960: Awarded: 6 pts
19:44:09.962: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:09.965: Awarded: 0 pts
19:44:09.968: Message received: teamAwesome,p@55w04d,5,XT17
19:44:09.970: Awarded: 6 pts
19:44:09.972: Message received: teamAwesome,p@55w04d,6,KG77
19:44:09.975: Awarded: 0 pts
19:44:10.013: Message received: teamAwesome,p@55w04d,1,AA00
19:44:10.016: Awarded: 0 pts
19:44:10.018: Message received: teamAwesome,p@55w04d,2,GH11
19:44:10.024: Awarded: 0 pts
19:44:10.029: Message received: teamAwesome,p@55w04d,3,KC11
19:44:10.033: Awarded: 6 pts
19:44:10.036: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:10.040: Awarded: 0 pts
19:44:10.044: Message received: teamAwesome,p@55w04d,5,XT17
19:44:10.047: Awarded: 6 pts
19:44:10.052: Message received: teamAwesome,p@55w04d,6,KG77
19:44:10.056: Awarded: 0 pts
19:44:10.194: Message received: teamAwesome,p@55w04d,1,AA00
19:44:10.197: Awarded: 0 pts
19:44:10.204: Message received: teamAwesome,p@55w04d,2,GH11
19:44:10.209: Awarded: 0 pts
19:44:10.210: Message received: teamAwesome,p@55w04d,3,KC11
19:44:10.219: Awarded: 6 pts
19:44:10.221: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:10.225: Awarded: 0 pts
19:44:10.235: Message received: teamAwesome,p@55w04d,5,XT17
19:44:10.237: Awarded: 6 pts
19:44:10.239: Message received: teamAwesome,p@55w04d,6,KG77
19:44:10.243: Awarded: 0 pts
19:44:10.316: Message received: teamAwesome,p@55w04d,1,AA00
19:44:10.318: Awarded: 0 pts
19:44:10.322: Message received: teamAwesome,p@55w04d,2,GH11
19:44:10.326: Awarded: 0 pts
19:44:10.328: Message received: teamAwesome,p@55w04d,3,KC11
19:44:10.332: Awarded: 6 pts
19:44:10.333: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:10.336: Awarded: 0 pts
19:44:10.338: Message received: teamAwesome,p@55w04d,5,XT17
19:44:10.344: Awarded: 6 pts
19:44:10.346: Message received: teamAwesome,p@55w04d,6,KG77
19:44:10.349: Awarded: 0 pts
19:44:10.503: Message received: teamAwesome,p@55w04d,1,AA00
19:44:10.505: Awarded: 0 pts
19:44:10.506: Message received: teamAwesome,p@55w04d,2,GH11
19:44:10.507: Awarded: 0 pts
19:44:10.508: Message received: teamAwesome,p@55w04d,3,KC11
19:44:10.514: Awarded: 6 pts
19:44:10.516: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:10.518: Awarded: 0 pts
19:44:10.521: Message received: teamAwesome,p@55w04d,5,XT17
19:44:10.523: Awarded: 6 pts
19:44:10.536: Message received: teamAwesome,p@55w04d,6,KG77
19:44:10.541: Awarded: 0 pts
19:44:10.648: Message received: teamAwesome,p@55w04d,1,AA00
19:44:10.650: Awarded: 0 pts
19:44:10.652: Message received: teamAwesome,p@55w04d,2,GH11
19:44:10.654: Awarded: 0 pts
19:44:10.655: Message received: teamAwesome,p@55w04d,3,KC11
19:44:10.657: Awarded: 6 pts
19:44:10.661: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:10.662: Awarded: 0 pts
19:44:10.668: Message received: teamAwesome,p@55w04d,5,XT17
19:44:10.670: Awarded: 6 pts
19:44:10.675: Message received: teamAwesome,p@55w04d,6,KG77
19:44:10.677: Awarded: 0 pts
19:44:10.858: Message received: teamAwesome,p@55w04d,1,AA00
19:44:10.860: Awarded: 0 pts
19:44:10.862: Message received: teamAwesome,p@55w04d,2,GH11
19:44:10.863: Awarded: 0 pts
19:44:10.866: Message received: teamAwesome,p@55w04d,3,KC11
19:44:10.867: Awarded: 6 pts
19:44:10.870: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:10.874: Awarded: 0 pts
19:44:10.875: Message received: teamAwesome,p@55w04d,5,XT17
19:44:10.877: Awarded: 6 pts
19:44:10.878: Message received: teamAwesome,p@55w04d,6,KG77
19:44:10.881: Awarded: 0 pts
19:44:10.988: Message received: teamAwesome,p@55w04d,1,AA00
19:44:10.990: Awarded: 0 pts
19:44:10.992: Message received: teamAwesome,p@55w04d,2,GH11
19:44:10.993: Awarded: 0 pts
19:44:10.995: Message received: teamAwesome,p@55w04d,3,KC11
19:44:10.996: Awarded: 6 pts
19:44:10.997: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:10.999: Awarded: 0 pts
19:44:11.007: Message received: teamAwesome,p@55w04d,5,XT17
19:44:11.008: Awarded: 6 pts
19:44:11.010: Message received: teamAwesome,p@55w04d,6,KG77
19:44:11.014: Awarded: 0 pts
19:44:11.171: Message received: teamAwesome,p@55w04d,1,AA00
19:44:11.174: Awarded: 0 pts
19:44:11.175: Message received: teamAwesome,p@55w04d,2,GH11
19:44:11.176: Awarded: 0 pts
19:44:11.178: Message received: teamAwesome,p@55w04d,3,KC11
19:44:11.182: Awarded: 6 pts
19:44:11.187: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:11.189: Awarded: 0 pts
19:44:11.192: Message received: teamAwesome,p@55w04d,5,XT17
19:44:11.196: Awarded: 6 pts
19:44:11.199: Message received: teamAwesome,p@55w04d,6,KG77
19:44:11.205: Awarded: 0 pts
19:44:12.004: Message received: teamAwesome,p@55w04d,1,FFFF
19:44:12.013: Awarded: 0 pts
19:44:12.020: Message received: teamAwesome,p@55w04d,2,GH11
19:44:12.021: Awarded: 0 pts
19:44:12.023: Message received: teamAwesome,p@55w04d,3,KC11
19:44:12.029: Awarded: 6 pts
19:44:12.033: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:12.040: Awarded: 0 pts
19:44:12.041: Message received: teamAwesome,p@55w04d,5,XT17
19:44:12.043: Awarded: 6 pts
19:44:12.050: Message received: teamAwesome,p@55w04d,6,KG77
19:44:12.058: Awarded: 0 pts
19:44:12.724: Message received: teamAwesome,p@55w04d,1,FFFF
19:44:12.726: Awarded: 0 pts
19:44:12.727: Message received: teamAwesome,p@55w04d,2,GH11
19:44:12.737: Awarded: 0 pts
19:44:12.746: Message received: teamAwesome,p@55w04d,3,KC11
19:44:12.754: Awarded: 6 pts
19:44:12.757: Message received: teamAwesome,p@55w04d,4,DHW7
19:44:12.767: Awarded: 0 pts
19:44:12.772: Message received: teamAwesome,p@55w04d,5,XT17
19:44:12.776: Awarded: 6 pts
19:44:12.783: Message received: teamAwesome,p@55w04d,6,KG77
19:44:12.795: Awarded: 0 pts
